screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score
ealbishri,2465,1024,157,458,431,5,0.4154,0.2649,0.1797,10,0.2648,0.5764,239436,1395.1424,3037.024,106.5356,14.7594,1.8053,0.23,0.16,0.50,0.5045,703.8494
ebaraf,3371,15433,117,5953,3845,230,4.5782,4.512,0.0703,86,3.455,0.5804,56147,183.291,30.7897,91.19,35.5935,1.5464,0.10,0.12,0.31,0.399,73.1331
ebaynetflix,3258,7356,128,101515,917,785,2.2578,8.473,0.109,353,11.382,0.1121,116002,844.976,8.3237,89.976,13.2502,1.2696,0.12,0.16,0.31,0.622,525.5751
eBooksHabit,2182,207463,158,264947,219056,2872,95.0793,0.0215,0.0,5,0.417,0.0016,5,0.364,0.0014,133.72,19.0116,2.0932,0.35,0.01,1.00,0.25,0.091
EDC_Deals,38,54,0,12,17,1,1.4211,0.0263,0.0,4,0.283,1.25,2,0.0755,0.3333,127.7925,30.7472,3.2609,0.87,0.00,1.00,0.0566,0.0043
eddyfate,4063,1301,146,3726,1119,216,0.3202,4.3141,0.0879,45,1.501,0.4028,158950,1657.406,444.8218,95.169,12.0956,1.4157,0.09,0.15,0.30,0.41,679.5365
EdGameTec,826,528123,153,15229,330,10495,639.3741,0.6017,1.2058,1,0.003,0.0002,339,2.366,0.1554,127.667,20.5497,2.2631,0.80,0.13,0.70,1.0,2.366
editaurus,3465,28962,129,4110,432,201,8.3584,8.9434,0.0947,60,2.873,0.699,201248,2536.63,617.1849,105.394,5.2666,1.875,0.01,0.03,0.45,0.503,1275.9249
eevanikunen,3076,2298,134,644,366,42,0.7471,1.4249,0.0787,71,5.078,7.8851,44249,134.282,208.5124,106.839,33.4415,1.789,0.35,0.26,0.45,0.679,91.1775
eGadgetSmart1,23,2,158,1,12,0,0.087,0.0,0.0,1,0.5,1.0,2,1.0,2.0,131.0,29.97,2.0,0.50,0.00,1.00,0.5,0.5
EhrlichAnissa,2401,358,86,82,282,0,0.1491,0.217,0.0304,8,0.42,1.7927,386155,3571.92,15246.0,99.7886,20.0499,1.2763,0.22,0.07,0.48,0.2343,836.9009
Elecrow1,2046,2978,138,2198,1057,58,1.4555,1.8895,0.2771,465,2.58,1.1738,10589,28.152,12.808,99.459,21.9693,1.6331,0.14,0.36,0.33,0.693,19.5093
ElectronicsLab,3932,7677,80,3315,1046,94,1.9524,0.0158,0.0046,16,1.156,0.3487,127,0.827,0.2495,99.084,5.1546,2.1111,0.02,0.88,0.98,0.338,0.2795
ellenLupton,3364,2692,25,53265,231,1546,0.8002,0.0499,0.0163,153,11.689,0.2194,2979,6.156,0.1156,117.32,20.9422,1.1102,0.13,0.44,0.92,0.706,4.3461
Ellerium_Games,1127,253,85,197,228,2,0.2245,0.181,0.0275,389,4.6574,5.934,7633,32.0916,40.8883,124.2271,30.5164,1.4694,0.20,0.06,0.61,0.502,16.11
em__lou,2370,225,0,76,112,4,0.0949,0.0025,0.0076,5,0.181,0.5263,42,0.8235,2.3947,89.4977,30.7997,2.8701,0.35,0.10,0.51,0.1448,0.1192
emiliobadilio,2421,5326,27,256,227,2,2.1999,1.0731,0.1698,51,1.013,3.957,322370,8821.787,34460.1055,83.626,1.2404,1.36,0.05,0.19,0.23,0.568,5010.775
Empoweredlatin1,850,7490,156,483,469,33,8.8118,8.2435,0.5976,54,1.474,3.0518,58710,103.067,213.3892,103.452,14.1166,2.3686,0.57,0.32,0.33,0.641,66.0659
EMULSIVEfilm,1160,46545,155,7705,1481,302,40.125,58.7466,0.1422,176,3.759,0.4879,85,1.825,0.2369,101.277,16.5968,1.954,0.17,0.04,0.43,0.383,0.699
engineeringcom,3352,11286,143,42567,191,1163,3.3669,0.0221,0.0042,178,2.283,0.0536,88,1.447,0.034,127.624,14.9545,1.5343,0.64,0.27,0.98,0.53,0.7669
englishkidunya,1885,14126,65,16753,9633,17,7.4939,13.939,0.0971,67,1.895,0.1131,1471,11.65,0.6954,111.615,21.0057,3.5806,0.03,0.11,0.82,0.941,10.9627
EnhanciaMusic,553,137,48,314,423,11,0.2477,0.5407,0.1175,21,2.2835,0.9236,22,2.7165,1.0987,120.6063,29.8944,1.9231,0.31,0.16,0.47,0.811,2.2031
EnigmaticEvents,1100,1297,92,215,250,32,1.1791,0.3664,0.0564,15,0.402,1.8698,26436,27.377,127.3349,123.817,15.0312,1.8325,0.38,0.20,0.72,0.231,6.3241
ennologic,1421,3629,107,10505,5995,160,2.5538,1.0654,0.0591,5,0.421,0.0401,11,0.251,0.0239,96.957,70.1508,2.7391,0.02,0.10,0.23,0.16,0.0402
EoT_Impulse,1436,35229,124,300,1420,18,24.5327,55.8691,0.4311,63,0.264,0.88,105996,3028.787,10095.9567,101.187,2.4057,1.5,0.03,0.15,0.16,0.643,1947.51
epicgamingnight,1223,7921,133,3655,1110,117,6.4767,7.2379,0.0662,104,5.408,1.4796,231,1.211,0.3313,104.405,29.8323,1.3478,0.09,0.16,0.45,0.239,0.2894
erbardo,3150,910,78,677,1610,6,0.2889,0.4194,0.1184,60,1.1293,1.4963,47876,81.8049,108.3885,105.7581,-1.2571,1.589,0.34,0.17,0.28,0.6187,50.6127
ericabuist,3190,18518,110,9227,3250,147,5.805,1.9053,0.0323,235,5.978,0.6479,327287,1450.087,157.1569,103.098,11.3648,1.1176,0.02,0.13,0.42,0.295,427.7757
erincasey09,1138,1236,153,1893,3095,29,1.0861,1.9631,0.0967,33,1.9357,0.9223,450650,895.2738,426.5911,97.6552,26.8153,1.8436,0.20,0.07,0.41,0.3004,268.9403
ETBoardGames,2452,8081,37,6681,1999,85,3.2957,25.6313,0.0053,18,2.334,0.3493,438,3.378,0.5056,109.942,38.2429,1.616,0.38,0.20,0.85,0.455,1.537
EthanFleischer,3189,10282,73,3133,220,150,3.2242,0.6337,0.042,387,6.548,2.09,156393,621.2,198.2764,94.501,14.3516,1.1844,0.14,0.09,0.29,0.288,178.9056
eunicebrownlee,3183,21137,143,1613,1879,154,6.6406,0.4222,0.0873,13,0.389,0.2412,450587,2556.941,1585.2083,104.255,20.4593,1.4384,0.33,0.06,0.55,0.327,836.1197
EuroGamerGirl,2037,23696,155,4142,2826,192,11.6328,17.2499,0.0393,47,2.255,0.5444,68835,89.319,21.5642,107.538,49.0366,1.5789,0.06,0.03,0.47,0.116,10.361
EvanWayneENT,353,457,54,66,145,0,1.2946,2.017,0.4476,11,0.6675,4.197,491276,8541.0916,53705.3485,76.0434,10.4041,1.7853,0.43,0.20,0.24,0.4482,3828.1172
EverythingC64,522,10474,146,7133,7211,58,20.0651,27.5958,1.751,47,0.806,0.113,5086,47.701,6.6874,128.274,17.2254,2.4179,0.59,0.26,0.19,0.981,46.7947
EvesTitties,1849,39581,23,902,342,10,21.4067,10.2985,0.4278,20,0.134,0.1486,293608,16519.548,18314.3548,88.775,-4.9506,1.25,0.02,0.26,0.37,0.809,13364.3143
EvilHatOfficial,2307,11979,52,9602,78,313,5.1925,1.3385,0.143,97,6.963,0.7252,2522,11.893,1.2386,117.305,16.4052,1.2211,0.10,0.06,0.65,0.77,9.1576
eyre_joe,2609,1166,76,1025,1830,12,0.4469,1.1207,0.187,45,1.835,1.7902,194852,418.294,408.0917,116.893,41.4391,1.1675,0.20,0.06,0.34,0.677,283.185
fabiojose80,3367,9693,125,575,283,42,2.8788,0.057,0.1016,3,0.08,0.1391,168369,450.988,784.327,102.475,2.4786,1.3421,0.19,0.13,0.60,0.379,170.9245
FailroadExpress,1990,1059,157,230,384,27,0.5322,0.1221,0.0668,32,0.542,2.3565,21866,35.695,155.1957,110.413,16.3213,2.8767,0.74,0.12,0.59,0.284,10.1374
fairway3games,1217,13104,154,2990,2254,107,10.7675,9.2104,0.2186,46,1.865,0.6237,30153,31.541,10.5488,102.083,17.1108,1.5514,0.11,0.35,0.47,0.382,12.0487
fancifullocales,3271,3609,148,161,0,4,1.1033,0.0024,0.0,4,0.421,2.6149,4,0.254,1.5776,113.12,-1.7373,2.0,0.80,0.00,0.20,0.23,0.0584
fanfactories,681,3377,156,896,724,22,4.9589,13.0675,0.1512,62,2.928,3.2679,4508,5.295,5.9096,79.996,18.4375,1.3651,0.06,0.05,0.25,0.177,0.9372
FanthaTracks,420,6298,152,2943,3761,37,14.9952,20.7738,0.1714,294,4.545,1.5443,6321,17.856,6.0673,115.702,3.9915,1.7158,0.64,0.22,0.76,0.6,10.7136
fasagames,2177,823,156,341,90,25,0.378,0.3321,0.0129,57,3.378,7.7566,15,0.8659,1.9883,98.493,28.2888,1.628,0.26,0.22,0.47,0.3819,0.3307
FastCoDesign,2930,78105,84,558656,523,13226,26.657,3.1563,0.056,715,16.172,0.0289,283,7.763,0.0139,112.205,8.4612,1.2857,0.06,0.60,0.94,0.931,7.2274
fatchancegames,974,419,129,336,292,21,0.4302,1.2187,0.1355,12,1.5588,1.9345,11288,41.2182,51.1548,119.1055,29.4779,2.2611,0.49,0.17,0.38,0.5851,24.1168
Fatima_Gemini,3186,683,140,543,1058,17,0.2144,0.3202,0.1036,11,0.6481,0.7735,68845,531.338,634.0829,128.7238,45.3504,1.7282,0.32,0.03,0.74,0.7269,386.2296
faundly,726,5896,123,121,180,8,8.1212,0.1584,1.0124,30,0.311,2.5702,172090,6723.774,55568.3802,93.468,10.356,1.6848,0.09,0.43,0.07,0.759,5103.3445
FeatherFleeks,2518,10664,166,1008,446,14,4.2351,1.9063,0.0338,791,5.751,5.7054,89712,208.539,206.8839,92.842,20.8953,1.381,0.04,0.17,0.35,0.24,50.0494
FeathersChapman,3361,3081,83,853,997,60,0.9167,0.6686,0.0241,24,1.581,1.8535,43593,86.235,101.0961,112.112,32.6115,2.687,0.39,0.08,0.50,0.24,20.6964
featureshoot,3401,40702,108,145913,2066,2458,11.9677,0.0785,0.0235,75,8.595,0.0589,52770,234.828,1.6094,137.955,10.5556,1.3469,0.27,0.02,0.94,0.811,190.4455
FelipeWWoHP,2603,20977,81,1635,669,50,8.0588,25.2766,0.0419,30,1.491,0.9119,101697,157.924,96.5896,86.517,25.4729,1.9583,0.19,0.20,0.24,0.163,25.7416
Fenland_Textile,2861,605,150,555,793,7,0.2115,0.0122,0.0398,8,0.2902,0.3153,543,2.3101,2.5099,103.1774,22.2124,1.6629,0.15,0.16,0.37,0.2968,0.6856
FenrisGames,2147,10531,143,1330,806,31,4.905,7.4574,0.0298,145,4.955,3.7256,52277,75.273,56.5962,93.846,14.5278,1.2297,0.15,0.13,0.41,0.248,18.6677
FionaLakeAus,2841,76061,160,7277,5102,331,26.7726,9.0971,0.1334,56,1.548,0.2127,122976,384.832,52.8833,119.593,15.5597,1.4604,0.14,0.08,0.37,0.486,187.0284
Fiori_aus,2639,53095,133,7560,6836,274,20.1194,0.0633,0.0,7,0.424,0.0561,3,0.132,0.0175,105.463,18.9172,1.5,0.09,0.72,0.89,0.11,0.0145
fireflynetworks,955,19,0,20,166,1,0.0199,0.0901,0.0042,7,1.9375,1.55,6327,398.5,318.8,102.875,18.4019,1.7143,0.44,0.19,0.56,0.4375,174.3438
FishcrowBirb,763,605,45,453,127,3,0.7929,1.9122,0.0957,197,6.3238,8.3201,159558,809.1326,1064.5541,77.1074,12.7598,1.0667,0.10,0.37,0.17,0.3188,257.9515
fiveidstudio,1327,65,84,48,24,2,0.049,0.0354,0.0128,10,1.9846,2.6875,175481,2702.5231,3659.6667,94.0308,9.8674,3.0714,0.43,0.55,0.35,0.8769,2369.8425
flatmax,3778,180,0,30,15,2,0.0476,0.0053,0.0008,10,0.1955,1.1667,34,0.3464,2.0667,108.1676,14.4085,1.05,0.11,0.03,0.78,0.1006,0.0348
fluxstudiollc,1291,151,136,157,820,4,0.117,0.3277,0.0186,29,1.1565,1.0828,263,3.7211,3.4841,103.1429,30.4066,2.2653,0.33,0.22,0.60,0.2313,0.8607
FlyteDenim,641,40,111,423,16,4,0.0624,0.4571,0.0031,5,1.3333,0.1229,15,0.5385,0.0496,104.5128,13.4054,2.2692,0.67,0.62,0.51,0.1282,0.069
Fogou_Models,246,85,131,110,92,4,0.3455,1.7724,0.0285,23,2.8675,2.1636,34,1.1566,0.8727,92.8072,22.5905,1.4,0.06,0.13,0.47,0.3133,0.3624
followthelede,3388,37452,114,3792,3352,201,11.0543,1.4764,0.1526,883,1.978,0.5216,138770,2043.575,538.9175,109.137,7.5236,1.3143,0.14,0.05,0.38,0.67,1369.1953
forestwitch,3332,7519,160,7300,184,158,2.2566,1.0204,0.0447,155,17.669,2.4204,5636,13.287,1.8201,121.131,16.1268,1.3137,0.05,0.18,0.51,0.644,8.5568
Forgetful_Bacon,2599,3910,41,582,557,11,1.5044,0.8457,0.1751,111,1.408,2.4192,260278,4538.585,7798.256,113.213,2.0681,1.2297,0.07,0.06,0.32,0.555,2518.9147
Formula5Music,2354,2494,51,1060,1120,11,1.0595,0.4732,0.1423,16,1.11,1.0472,7708,9.094,8.5792,110.608,17.0051,1.6778,0.24,0.13,0.66,0.649,5.902
FoundersPad,2274,690,100,680,384,56,0.3034,0.0558,0.0941,9,0.3639,0.3676,1662,4.1776,4.2206,100.3741,29.3286,1.7159,0.26,0.08,0.66,0.444,1.8548
fr3quency_,2482,15049,53,1997,1555,8,6.0633,1.9194,0.137,46,0.899,0.4502,187851,949.956,475.6915,73.11,6.1545,1.5484,0.09,0.04,0.18,0.578,549.0746
fran_wilde,4048,75118,160,8690,1914,355,18.5568,30.6265,0.0319,988,10.007,1.1516,149565,228.497,26.2942,77.53,21.6702,1.6949,0.06,0.06,0.31,0.314,71.7481
FrederickWolfe_,676,2105,0,16085,8061,38,3.1139,0.9053,0.0,7,0.621,0.0386,7,0.197,0.0122,130.42,14.0799,3.8672,0.96,0.00,1.00,0.159,0.0313
FreeGamePlanet,1223,2843,126,2688,1055,120,2.3246,4.6083,0.4244,85,5.041,1.8754,5739,24.972,9.2902,132.023,19.8744,1.6596,0.57,0.00,0.78,0.875,21.8505
FridgeSmarter,296,703,69,301,600,8,2.375,0.7703,0.7838,11,0.3232,0.7076,24121,46.7314,102.3123,117.9256,22.2697,2.1297,0.61,0.36,0.75,0.4385,20.4917
FrontwingInt,1104,2244,158,5841,34,69,2.0326,1.0824,0.1784,376,16.548,2.8331,491,10.539,1.8043,116.226,23.8991,1.3824,0.17,0.16,0.52,0.704,7.4195
FuguLuggage,1462,424,156,1228,1314,44,0.29,0.604,0.0198,106,0.8606,0.2866,201,2.0905,0.6963,108.8753,29.6672,1.87,0.24,0.12,0.67,0.1809,0.3782
FunatticChannel,1524,9808,94,1475,667,77,6.4357,8.8445,0.2651,202,2.312,1.5675,489537,3829.642,2596.3675,96.968,6.5966,1.6894,0.23,0.23,0.34,0.468,1792.2725
fyeahmfabello,2569,61475,153,19407,1358,409,23.9295,0.0557,0.1008,3149,31.405,1.6182,339170,1986.803,102.3756,107.947,15.5653,1.2857,0.04,0.06,0.49,0.605,1202.0158
GabriellaR613,188,77750,95,8224,8074,11,413.5638,257.4681,4.8404,33,0.415,0.0505,37554,846.809,102.968,127.412,-2.2555,1.8242,0.17,0.11,0.28,0.975,825.6388
gadgetfeedco,711,156,59,164400,9079,16,0.2194,19.5485,0.0,21,3.7731,0.0027,12,1.6639,0.0012,114.395,27.8886,3.1765,0.29,0.41,0.61,0.4706,0.783
GadgetFlow,2094,48617,160,121644,4084,1250,23.2173,3.9823,0.1017,31,1.102,0.0091,1764,12.971,0.1066,129.061,25.4124,1.203,0.53,0.13,0.83,0.926,12.0111
GadgetRumors,3346,114110,159,3266,3626,131,34.1034,0.3308,0.0069,3,0.075,0.023,113,0.346,0.1059,105.377,9.8725,6.007,0.14,0.55,0.99,0.044,0.0152
GadgetsLiving,329,4437,136,871,5001,4,13.4863,80.7933,0.5623,5,0.167,0.1917,622,5.057,5.806,107.353,11.4784,1.3093,0.54,0.03,0.94,0.281,1.421
galendara,3544,23220,139,2023,192,167,6.5519,0.8076,0.0736,99,1.833,0.9061,36416,87.962,43.481,90.417,32.4574,1.6379,0.12,0.09,0.38,0.42,36.944
game_metrics,923,2328,40,2772,2095,23,2.5222,3.4464,0.1181,26,2.959,1.0675,380,8.274,2.9848,134.31,6.0789,5.0682,0.94,0.07,0.90,0.827,6.8426
gamebanshee,3264,20293,47,1120,107,58,6.2172,0.0,0.0,7,0.345,0.308,5,0.246,0.2196,77.965,-1.1152,0,0.00,0.26,1.00,0.195,0.048
gamebooknews,605,425,64,307,464,4,0.7025,0.8298,0.486,56,1.6312,2.2476,389,9.5154,13.1107,130.0213,13.5088,1.9478,0.32,0.19,0.55,0.9598,9.1328
Gameplayinginfo,850,7352,70,461,57,49,8.6494,13.5612,0.0,3,0.033,0.0716,2,0.081,0.1757,135.316,8.3159,1.3214,0.03,0.00,1.00,0.072,0.0058
games_overboard,141,134,111,42,42,2,0.9504,0.2057,0.0355,14,1.0375,1.9762,10,0.7375,1.4048,117.725,30.8025,1.8889,0.23,0.00,0.86,0.3,0.2212
GameScape3D,1506,432,52,427,362,19,0.2869,0.7324,0.0817,41,2.2342,2.2342,54895,142.7658,142.7658,116.4918,13.0217,4.3891,0.69,0.22,0.65,0.5878,83.9177
GamesEastStreet,110,33,134,42,27,2,0.3,0.3545,0.0364,8,2.1852,1.4048,5,1.7778,1.1429,136.8889,34.1774,1.3333,0.11,0.04,0.81,0.7037,1.251
Gamesplus8,292,362,160,130,44,1,1.2397,1.1644,0.1438,43,2.4698,5.9846,82986,333.819,808.8692,100.3968,13.4711,2.4882,0.67,0.49,0.39,0.4095,136.6989
GamesShed,2333,45144,165,23784,6493,245,19.3502,6.1342,0.072,84,2.699,0.1135,861537,1286.848,54.1056,103.066,26.0137,2.0356,0.28,0.16,0.54,0.497,639.5635
garvash,3848,10197,134,2385,1417,114,2.6499,1.4945,0.1736,6129,8.626,3.6168,159150,4103.173,1720.408,79.396,7.6213,1.8755,0.27,0.45,0.16,0.715,2933.7687
gaslands_game,1015,2334,102,1469,624,19,2.2995,2.6384,0.6384,211,2.161,1.4711,4597,7.831,5.3308,105.499,15.6457,1.5119,0.25,0.26,0.19,0.799,6.257
GavThorpeCreate,3282,15278,150,9327,875,175,4.6551,5.8458,0.1356,471,7.219,0.774,94115,828.48,88.826,103.494,17.9912,1.5,0.11,0.12,0.27,0.601,497.9165
gearculture,3389,9292,41,3572,97,43,2.7418,0.0027,0.0003,20,0.181,0.0507,208,0.257,0.0719,72.357,2.9013,1.2727,0.01,0.99,0.99,0.04,0.0103
GeekDads,3484,63012,106,27885,712,1410,18.0861,0.1958,0.021,57,0.842,0.0302,48,0.561,0.0201,87.529,8.3077,1.8026,0.08,0.02,0.94,0.245,0.1374
GeekGirlCon,2892,49934,160,31644,1839,1389,17.2663,0.7306,0.0003,1460,8.275,0.2615,371,2.74,0.0866,112.106,15.8329,1.0887,0.25,0.27,0.87,0.65,1.781
GeekMomBlog,2929,42441,24,15705,483,600,14.4899,0.4414,0.0096,11,0.527,0.0336,23563,29.452,1.8753,86.655,4.8969,1.5714,0.04,0.01,0.98,0.136,4.0055
GeekOutSW,1743,5591,158,1734,1760,74,3.2077,1.3351,0.117,27,0.621,0.3581,7565,19.682,11.3506,113.899,23.6487,1.9757,0.49,0.52,0.76,0.369,7.2627
Geekthenews,1477,1536,118,18032,3001,50,1.0399,1.4462,0.2722,176,0.992,0.055,3628757,4331.828,240.23,102.286,22.1195,1.8074,0.35,0.23,0.49,0.537,2326.1916
Geeky_Tim,3055,11990,60,2464,687,113,3.9247,6.1123,0.1221,38,1.134,0.4602,141063,1326.046,538.168,95.512,10.0829,1.2379,0.21,0.07,0.20,0.424,562.2435
GeekyGadgets,3387,91496,36,21623,274,978,27.0139,0.0,0.0,11,0.618,0.0286,6,0.112,0.0052,96.674,6.7084,1.0,0.00,1.00,1.00,0.1,0.0112
GehennaBooks,907,363,73,293,273,8,0.4002,0.2558,0.1147,19,2.3718,2.8089,112169,414.5562,490.959,109.0375,8.7868,1.7143,0.14,0.48,0.72,0.6916,286.7071
Gelada,3367,14791,160,3980,798,277,4.3929,0.6421,0.1533,240,2.819,0.7083,201743,512.86,128.8593,117.035,19.8784,1.7639,0.23,0.16,0.30,0.622,318.9989
generalcrozier,1710,23469,114,160,167,2,13.7246,26.0427,0.248,15,1.616,10.1,358418,4783.654,29897.8375,79.622,9.9417,1.5152,0.03,0.36,0.08,0.466,2229.1828
GenesisAPS,3012,1201,160,924,934,16,0.3987,0.1182,0.0647,203,1.709,1.8496,94,1.512,1.6364,117.716,33.9999,2.0522,0.40,0.29,0.55,0.659,0.9964
GenkiGamingTv,590,1963,0,82,166,0,3.3271,1.4966,0.0542,5,0.624,7.6098,3425,7.171,87.4512,88.86,43.1978,1.48,0.05,0.04,0.38,0.051,0.3657
georgeJONES,3604,677,156,313,664,10,0.1878,0.1021,0.0319,11,0.2489,0.5367,3366559,5846.1259,12607.4601,81.3437,12.1705,1.5248,0.42,0.04,0.23,0.2326,1359.8089
GeorgePoulian,115,25,100,31,57,0,0.2174,1.0261,0.0,28,3.8947,2.3871,1,0.0526,0.0323,92.2105,16.8379,1.0,0.11,0.11,0.42,0.0526,0.0028
GeorgeSocially,1935,1602,114,209,293,6,0.8279,0.7535,0.2021,2644,3.507,16.7799,1142663,1893.35,9059.0909,95.598,15.8977,1.5771,0.35,0.32,0.28,0.509,963.7151
ggongwer,2853,14333,140,9562,9946,8,5.0238,3.6036,0.2646,185,1.919,0.2007,211519,2547.877,266.4586,128.26,-1.5042,3.1119,0.29,0.14,0.22,0.898,2287.9935
ghimlay,3283,24185,141,7921,815,303,7.3667,0.0822,0.1148,333,2.594,0.3275,327148,475.283,60.0029,114.308,10.1165,1.3585,0.11,0.14,0.46,0.627,298.0024
GIANMARIA1977,3140,1972,0,242,298,5,0.628,2.1271,0.0025,8,0.259,1.0702,6716,10.115,41.7975,83.323,16.9676,3.2768,0.18,0.07,0.85,0.06,0.6069
GigiEdgley,2339,12809,154,12921,1332,227,5.4763,5.3142,0.239,156,5.013,0.388,14759,17.42,1.3482,115.224,28.9861,1.7143,0.22,0.18,0.38,0.811,14.1276
ginavergel7,3638,216817,134,3361,2204,340,59.5979,7.4973,0.1553,10,0.3,0.0893,256296,1735.269,516.2954,102.922,4.3815,1.2647,0.10,0.09,0.48,0.593,1029.0145
ginger_mom17,397,2562,106,445,770,8,6.4534,7.3451,0.9748,15,0.616,1.3843,36159,62.128,139.6135,106.542,31.4417,1.6582,0.39,0.10,0.61,0.477,29.6351
giochix,2403,633,114,1646,565,49,0.2634,0.2788,0.0241,40,1.0554,0.4052,814,2.7453,1.0541,111.1677,18.4346,3.1432,0.71,0.26,0.70,0.5079,1.3943
GirlGeekUpNorth,3309,9986,154,2310,140,118,3.0178,1.2865,0.0888,85,1.869,0.8091,431733,1934.835,837.5909,106.631,22.5932,1.4454,0.24,0.18,0.36,0.466,901.6331
GiveUpArt,3261,9672,100,3839,2719,112,2.966,0.8332,0.1285,47,1.011,0.2633,209517,617.601,160.8755,90.949,22.7059,1.2613,0.20,0.14,0.40,0.532,328.5637
gizmag,3439,54577,20,53664,17,2144,15.87,0.0122,0.0,321,1.6,0.0298,132,0.824,0.0154,111.793,9.3345,0,0.00,0.98,1.00,0.401,0.3304
glamourmag,3449,103147,39,1399254,1067,7673,29.9063,1.1943,0.02,3558,39.948,0.0285,10551,29.52,0.0211,91.616,14.7036,1.199,0.40,0.12,0.90,0.892,26.3318
GlasgowLib,2980,5581,146,8096,1656,196,1.8728,0.7426,0.049,63,4.431,0.5473,31299,35.73,4.4133,126.175,30.8333,1.2687,0.29,0.09,0.73,0.789,28.191
glassbottommeg,2727,107734,150,7395,513,329,39.5064,20.941,0.0359,364,4.24,0.5734,40014,109.193,14.7658,111.113,18.4579,1.3125,0.03,0.11,0.53,0.218,23.8041
GLASYSmusic,788,737,137,702,1262,17,0.9353,2.0888,0.1218,72,1.9119,1.9174,3222,5.5568,5.5726,104.7827,36.9233,2.7724,0.21,0.06,0.73,0.3139,1.7443
glennsoii,606,340,63,132,72,1,0.5611,1.0809,0.0231,154,6.1993,13.6667,1625,18.3849,40.5303,82.7148,27.5894,1.9213,0.31,0.40,0.13,0.4124,7.5819
GMHFOMG,200,179,147,14,0,0,0.895,0.0,0.0,1,0.0382,0.3571,2,0.0229,0.2143,121.1374,33.0898,0,0.00,0.00,0.89,0.0153,0.0004
GMTimD,377,1402,82,166,320,2,3.7188,16.244,0.939,24,1.388,8.3614,48290,79.492,478.8675,101.571,27.1873,1.4,0.10,0.09,0.32,0.401,31.8763
gnomestew,3295,3254,49,4684,174,238,0.9876,0.6088,0.068,237,4.976,1.0623,29548,50.544,10.7908,111.42,17.9739,1.2545,0.17,0.39,0.75,0.883,44.6304
Goblin_Guild,817,738,71,517,949,4,0.9033,1.2399,0.2215,31,3.2176,4.4623,6774,25.1646,34.8994,82.6625,15.5821,1.9514,0.20,0.50,0.30,0.5983,15.056
Godessbecca1,192,382,134,615,2,9,1.9896,0.3125,0.0885,198,4.7517,2.3024,73,3.9631,1.9203,136.8054,-13.818,1.0636,0.79,0.01,0.91,0.953,3.7768
GogenSoft,82,36,117,172,808,1,0.439,0.7561,0.1098,31,3.6552,0.6163,27,5.4828,0.9244,113.7931,17.2245,4.6,0.34,0.14,0.76,0.8276,4.5375
goldenpolaroid,2681,69909,143,13265,865,255,26.0757,7.0571,0.1257,4846,30.399,2.2917,109130,806.076,60.7671,68.685,5.6334,1.0,0.01,0.14,0.30,0.523,421.5777
goldenwaave,2923,48659,18,2446,2326,9,16.6469,2.2443,0.2737,22,0.16,0.0654,1089786,33634.413,13750.7821,92.084,0.0252,1.5,0.01,0.17,0.35,0.842,28320.1757
GoodmanGames,3319,1610,9,5900,202,274,0.4851,0.5026,0.0723,461,7.5,1.2712,248278,260.078,44.081,106.015,20.8371,1.7436,0.20,0.34,0.54,0.612,159.1677
gordsellar,3419,7030,72,1044,959,74,2.0562,0.3238,0.0529,15,0.501,0.4799,63810,628.017,601.5489,107.633,7.9996,1.2319,0.07,0.15,0.52,0.23,144.4439
gosavers,248,46,95,22,20,1,0.1855,0.0282,0.0323,4,0.4762,0.9091,6,0.619,1.1818,89.9286,29.5414,1.0,0.14,0.57,0.45,0.3571,0.2211
Govtjobsalerti1,132,469,160,128,0,0,3.553,0.0076,0.0,2,0.1897,0.5781,1,0.041,0.125,139.5462,2.0913,2.003,0.86,0.01,1.00,0.041,0.0017
gr3yr0n1n,2182,1779,119,943,282,32,0.8153,3.6251,0.3153,61,0.454,0.4814,176196,598.627,634.8112,101.169,22.4403,1.5864,0.29,0.19,0.32,0.729,436.3991
Grandpa_Batman,1796,5715,70,822,1088,14,3.1821,4.1754,0.0367,263,2.123,2.5827,150406,379.535,461.7214,82.367,9.0872,1.4734,0.21,0.18,0.23,0.143,54.2735
GreenwichHour,1628,123962,160,7343,5142,537,76.1437,27.4889,0.4939,15,0.468,0.0637,315,4.397,0.5988,130.388,33.6015,1.7047,0.39,0.08,0.23,0.895,3.9353
gregmishka,3465,39859,47,11615,1388,199,11.5033,0.5636,0.0225,80,3.295,0.2837,107859,221.314,19.0542,78.583,3.2994,1.1447,0.08,0.03,0.17,0.353,78.1238
grickle,3435,4940,125,9048,190,380,1.4381,0.5453,0.0201,184,11.153,1.2326,847,3.699,0.4088,85.456,14.9442,1.0777,0.57,0.11,0.73,0.795,2.9407
