screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score
B_Crilly,1972,2970,151,707,654,50,1.5061,2.2875,0.11,177,3.04,4.2999,126286,466.724,660.1471,123.072,26.1879,1.3763,0.28,0.04,0.55,0.425,198.3577
B_G__Exposure,349,410,155,1627,861,17,1.1748,1.0143,0.2837,37,2.6854,0.6767,778,5.2268,1.3171,110.8341,32.7773,1.877,0.30,0.06,0.78,0.6805,3.5569
BackerClub,1372,49248,160,8069,5495,1529,35.895,25.4198,0.0897,6,0.337,0.0418,6,0.356,0.0441,116.19,27.4473,2.5191,0.18,0.01,0.98,0.257,0.0915
BackerGuru,557,1307,158,2941,3587,29,2.3465,0.0287,1.4991,6,0.054,0.0184,21216,39.751,13.5162,129.554,29.3604,1.4867,0.26,0.07,0.62,0.845,33.5896
backrelease_,227,2183,126,2438,3090,9,9.6167,89.5903,0.0881,25,0.475,0.1948,23,0.155,0.0636,127.011,15.5996,1.5741,0.37,0.15,0.97,0.084,0.013
BackspindleGame,2271,9564,100,2628,1962,131,4.2114,3.2448,0.1801,18,1.989,0.7568,282917,498.534,189.7009,117.794,36.7698,2.1623,0.50,0.14,0.53,0.758,377.8888
BadAstronomer,4096,78942,128,628126,541,12928,19.2729,0.2454,0.0112,3937,111.901,0.1782,16310,80.75,0.1286,94.229,21.1864,1.2941,0.03,0.09,0.51,0.569,45.9468
baldengineer,3905,6122,113,1906,637,94,1.5677,0.3004,0.0707,52,1.926,1.0105,281312,333.86,175.1626,108.626,11.1098,1.2692,0.13,0.28,0.67,0.509,169.9347
balio85,3796,4296,160,237,164,7,1.1317,0.0013,0.0909,5,0.064,0.27,210033,616.034,2599.2996,94.257,9.0006,2.3638,0.69,0.19,0.44,0.415,255.6541
BanalaLife,58,17,18,3,16,1,0.2931,0.069,0.0172,0,0.0,0.0,16,1.0,5.6667,83.8235,8.9288,8.0,0.06,0.00,0.94,0.1176,0.1176
