screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score,influencial
BriansGotGame,1168,2141,98,976,239,23,1.833,1.8279,0.0274,32,2.338,2.3955,125,0.917,0.9395,105.452,29.6317,1.8472,0.56,0.27,0.45,0.2925,0
broadfieldsales,3030,2189,159,309,306,7,0.7224,0.0106,0.0554,7,0.286,0.9256,4,0.423,1.3689,106.371,13.6823,0,0.00,0.84,1.00,0.1569,0
BroBible,3348,197116,84,143985,7930,1131,58.8757,1.5792,0.0128,74,3.139,0.0218,47715,92.167,0.6401,108.021,8.3243,1.1429,0.01,0.15,0.95,39.8161,0
brotips,2654,57786,157,529591,57,1572,21.7732,0.4054,0.0023,62,3.411,0.0064,273,1.244,0.0023,108.939,7.6401,1.0,0.00,0.07,0.99,0.464,0
BrownLeatherGuy,1536,4535,80,494,106,19,2.9525,0.0879,0.1706,159,1.595,3.2287,68114,733.789,1485.4028,100.316,6.1693,1.5435,0.05,0.14,0.43,289.8467,0
BruceLevenstein,3554,95258,44,1528,1023,101,26.803,0.1168,0.0312,52,2.11,1.3809,32901,56.367,36.8894,83.656,10.5616,1.2812,0.03,0.17,0.32,12.5698,0
BSoMT_2018,113,2151,132,570,490,10,19.0354,51.3628,0.9558,26,2.415,4.2368,364,1.199,2.1035,110.194,17.711,1.6964,0.06,0.04,0.48,0.277,0
bsperk02,1314,11418,90,259,400,7,8.6895,27.6865,0.1096,26,1.786,6.8958,512659,2826.726,10914.0,74.069,1.8216,1.1667,0.03,0.30,0.11,483.3701,0
btc_magic,107,75,92,6017,2,6,0.7009,0.0093,0.0187,280,8.4598,0.1223,211,7.4483,0.1077,134.6897,24.5283,0,0.00,0.00,0.99,4.6231,0
BubbleKnight,995,54,127,67,43,1,0.0543,0.1437,0.0101,151,7.5091,6.1642,28366,742.7818,609.7463,103.7818,9.3793,3.6471,0.62,0.42,0.36,472.7063,0
Buddhism_Now,3371,45799,83,171927,14,2695,13.5862,0.0163,0.0113,176,18.795,0.1093,383,6.553,0.0381,116.693,12.1428,1.2051,0.04,0.13,0.73,5.8256,1
bunnihoon,314,12018,27,422,108,15,38.2739,24.1051,2.1975,130,0.613,1.4526,54488,2228.901,5281.7559,94.077,12.1212,2.5466,0.47,0.48,0.17,1600.3509,0
BushidoGCT,2566,1336,35,1074,705,22,0.5207,0.3722,0.083,24,1.328,1.2365,314,1.978,1.8417,86.949,31.9914,2.0559,0.14,0.21,0.49,1.0661,0
byrnesyliam,4103,10623,66,707,1460,40,2.5891,0.3151,0.0712,4,0.232,0.3281,32549,126.743,179.2687,104.498,15.5509,1.3196,0.10,0.08,0.53,40.431,0
c0ralsky,1907,9509,160,1348,315,23,4.9864,19.5894,0.0891,80,1.684,1.2493,269002,1988.451,1475.112,98.474,21.0821,1.6098,0.04,0.20,0.35,497.1128,0
C20thPosters,1000,1974,111,2014,860,42,1.974,1.346,0.407,289,5.077,2.5209,1876,14.731,7.3143,120.031,25.473,1.615,0.23,0.21,0.44,10.8862,0
C2CMovie,2650,446,46,144,232,6,0.1683,0.0336,0.0445,10,0.2325,0.7153,2554,12.6343,38.8681,102.1422,35.5418,2.4576,0.13,0.10,0.70,5.6185,0
cabbie8201,3305,7457,160,842,1518,18,2.2563,5.1537,0.0908,114,2.964,3.5202,129069,1103.283,1310.3124,99.762,24.8625,1.5872,0.22,0.21,0.32,472.2051,0
CadeRageous,3322,30929,94,261772,127700,1365,9.3104,7.9798,0.0346,194,9.632,0.0368,245966,1710.016,6.5325,93.856,27.4447,1.2772,0.10,0.10,0.36,601.9256,0
CAFalk,3293,264565,148,27111,22998,757,80.3416,1.577,0.1591,38,0.534,0.0197,54645,2096.811,77.3417,118.261,6.951,2.8109,0.42,0.03,0.55,1702.6105,1
Caitlin_Akers,2907,1911,112,1301,1446,61,0.6574,1.1321,0.0774,21,1.347,1.0354,144299,266.64,204.95,99.395,24.1643,1.9737,0.38,0.24,0.39,109.0558,0
cakeandmonkeys,1951,821,72,183,674,14,0.4208,0.2922,0.2219,4,0.1221,0.541,3366567,4362.6215,19333.8033,120.2737,21.1563,1.669,0.52,0.04,0.35,2501.5271,0
calamityware,1479,832,50,683,358,44,0.5625,0.8661,0.0142,18,1.4184,1.6925,56,0.4687,0.5593,104.2123,26.4165,2.1968,0.60,0.27,0.70,0.1168,0
calmgrove,1858,7364,94,257,173,30,3.9634,6.5253,0.1114,26,0.677,2.6342,159588,1291.119,5023.8093,99.685,7.3217,2.9632,0.46,0.12,0.59,431.2337,0
CamillaGHellman,2447,995,0,495,937,10,0.4066,0.6731,0.0503,645,3.0888,6.0465,4690,15.1847,29.7253,127.8308,36.1236,2.0271,0.65,0.34,0.66,8.713,0
CanBlogHouse,3327,108087,148,21970,20405,879,32.4878,5.1317,0.0556,433,1.352,0.0615,3044,6.297,0.2866,87.119,47.647,1.8577,0.24,0.05,0.30,1.7632,0
CandaceHowze,1994,24207,160,1121,1735,26,12.1399,8.9147,0.2302,49,0.452,0.4032,189557,4656.101,4153.5245,89.497,11.3635,1.1503,0.17,0.17,0.26,2379.2676,0
CandlemonkeyH,1742,1916,97,554,661,29,1.0999,4.6211,0.0741,59,2.091,3.7744,65075,436.169,787.3087,99.153,24.2361,2.5302,0.21,0.09,0.42,198.0207,0
CapnIndigo,2978,49938,25,178,246,15,16.769,0.8073,0.1064,17,0.37,2.0787,143709,3110.15,17472.7528,106.383,6.7238,1.3636,0.02,0.07,0.33,1017.0191,0
CardboardEdison,2301,22253,150,8818,3852,314,9.671,1.3516,0.1986,104,3.039,0.3446,377,3.976,0.4509,113.616,21.778,1.1502,0.23,0.09,0.45,2.8786,0
CardExperiment,2493,342,122,2511,1054,23,0.1372,0.0333,0.0249,5,0.4897,0.0661,7,0.5074,0.0685,107.4248,23.9469,2.7029,0.52,0.23,0.83,0.1571,0
carlatreloar,3038,3627,82,808,104,19,1.1939,0.109,0.2149,47,1.717,2.125,2549,10.906,13.4975,127.557,20.8901,1.329,0.31,0.11,0.29,9.4664,1
CARmagazine,3689,20852,158,178930,441,1740,5.6525,0.7693,0.0206,159,12.521,0.07,86,4.13,0.0231,105.702,17.6634,1.1336,0.54,0.50,0.78,3.3907,1
carmencita13,3505,2694,92,489,488,19,0.7686,0.0967,0.0519,6,0.255,0.5215,58324,168.15,343.865,87.562,23.8356,1.5149,0.20,0.02,0.55,25.5588,0
catcuddles,3402,1874,147,1264,179,21,0.5509,0.5182,0.0608,304,19.835,15.6922,1177,18.772,14.8513,116.226,42.7898,1.4232,0.24,0.10,0.58,13.9101,0
CatsvsG,118,13,22,8,2,0,0.1102,0.0254,0.0085,14,2.9167,4.375,5,1.3333,2.0,75.0833,-5.3892,1.3333,0.50,0.83,0.33,1.0,0
cawoodpublish,958,11204,139,5084,4839,114,11.6952,38.6545,0.1639,255,7.975,1.5686,1794,9.922,1.9516,103.589,14.6131,1.4912,0.23,0.14,0.43,3.3437,0
cbsa82,1005,85297,159,5504,747,216,84.8726,174.7463,0.7214,153,2.831,0.5144,111706,786.837,142.9573,121.921,25.2989,1.75,0.29,0.10,0.30,630.2564,1
CCTV,3270,35790,77,592683,164,1076,10.945,0.0049,0.0003,423,37.159,0.0627,121,12.446,0.021,125.652,8.681,1.0779,0.15,0.40,0.63,12.334,1
ceciliatan,3991,78043,118,5566,1342,410,19.5547,2.2794,0.1198,8547,9.796,1.76,115781,1245.053,223.689,110.937,14.5498,1.1667,0.13,0.07,0.31,718.3956,0
centrodarte,3164,1225,145,457,219,14,0.3872,0.141,0.0607,58,1.013,2.2166,6917,10.993,24.0547,115.244,4.8311,1.8185,0.62,0.29,0.70,5.5295,0
CEPData,3311,15449,121,18933,550,675,4.666,0.9477,0.1613,18,1.081,0.0571,86,2.845,0.1503,132.427,29.7104,1.2521,0.12,0.01,0.54,2.3898,1
cEvinKey,3307,2496,0,10327,69,196,0.7548,0.062,0.0006,266,12.789,1.2384,78,2.711,0.2625,81.25,19.0449,2.1429,0.02,0.00,0.88,1.8245,0
chadhayesmd,1361,7779,153,4660,669,112,5.7157,6.0066,0.0426,984,11.657,2.5015,35326,37.789,8.1092,102.025,10.1084,1.1538,0.01,0.06,0.40,9.2961,0
chaeycolate,1177,33375,62,7130,6470,17,28.356,0.8785,0.1215,38,1.233,0.1729,1740,21.304,2.9879,85.459,9.8684,4.3195,0.53,0.52,0.32,9.2033,0
ChambonSophie,2444,1114,153,368,114,77,0.4558,0.3155,0.0925,25,1.494,4.0598,484,6.14,16.6848,128.416,14.0409,2.0128,0.70,0.09,0.64,3.9603,0
chellenator,3941,51157,158,396,141,31,12.9807,3.9878,0.0941,146,1.722,4.3485,418355,3287.549,8301.8914,113.441,11.6709,1.6341,0.04,0.09,0.42,1469.5344,0
chelleyreads,3130,18674,110,1238,586,76,5.9661,0.3505,0.0268,54,0.925,0.7472,107645,436.618,352.6801,95.843,22.9699,1.3664,0.13,0.11,0.52,68.549,0
CherylDowning,3419,3514,99,299,360,79,1.0278,0.5727,0.1424,6,0.303,1.0134,565,6.409,21.4348,126.519,21.5224,2.6609,0.70,0.09,0.83,3.8198,0
ChiizDotCom,926,204,0,76,243,3,0.2203,0.108,0.0184,19,1.4369,3.8947,77,1.7282,4.6842,134.7282,23.804,5.5581,0.42,0.04,0.91,0.6627,0
chillsunfire,1420,763,86,142,273,0,0.5373,3.4472,0.0775,27,0.6043,2.9577,201167,742.5151,3634.1408,108.3626,24.6858,1.7731,0.34,0.05,0.51,162.3881,0
chinnky,3299,13094,128,2526,2286,15,3.9691,0.9212,0.0697,20,0.288,0.114,216822,1832.083,725.2902,85.81,18.7817,1.4203,0.07,0.06,0.35,599.0911,0
Chisuto,3447,6306,150,334,351,26,1.8294,2.1297,0.2071,12,0.36,1.0778,501248,11931.494,35723.0359,114.091,23.7678,1.3149,0.18,0.14,0.19,8781.5796,0
chrisburkard,2809,4498,160,29306,907,634,1.6013,0.0662,0.0021,3740,93.344,3.1851,34504,54.86,1.872,118.322,22.9052,1.1154,0.08,0.73,0.49,52.6107,1
ChrisNicol,3497,2476,60,270,162,28,0.708,0.1741,0.0392,11,0.26,0.963,200495,1235.338,4575.3259,96.651,17.1203,1.7275,0.37,0.04,0.53,216.1841,0
ChrisWhartonArt,3687,1714,99,264,321,17,0.4649,0.2889,0.0692,27,0.69,2.6136,201468,1132.462,4289.6288,107.202,25.8649,2.622,0.42,0.26,0.51,413.3486,0
ChronosCrow,3198,2137,68,190,398,9,0.6682,0.197,0.1073,113,0.436,2.2947,909032,1334.545,7023.9211,88.549,20.6666,1.515,0.27,0.04,0.21,488.4435,0
CircleofBooks,1841,750394,129,41476,29205,1358,407.6013,6.9343,0.0103,14,0.458,0.011,28,2.353,0.0567,107.406,-2.8763,3.3102,1.00,0.66,0.99,1.6353,0
circusposterus,3351,6102,63,3650,565,106,1.8209,0.1513,0.0973,54,1.892,0.5184,652,3.589,0.9833,121.826,16.9793,1.7986,0.14,0.27,0.71,2.6236,0
citizenkahn,4063,7194,148,261,429,54,1.7706,2.538,0.1068,25,0.336,1.2874,218258,2602.998,9973.1724,114.438,3.2075,1.4963,0.27,0.10,0.46,1181.7611,0
CitrusInferno,1472,593,55,48,42,2,0.4029,0.6569,0.0136,15,1.0838,13.2083,16123,28.1573,343.1667,108.5949,19.5424,1.1111,0.14,0.07,0.28,3.9476,0
CivilWar_Quotes,770,1080,70,484,199,12,1.4026,0.7519,0.0156,69,3.625,7.4897,45,1.2,2.4793,122.716,-5.2595,1.0709,0.13,0.15,0.33,0.6324,0
CLabsIU,1406,316,136,454,97,20,0.2248,0.0747,0.1202,11,1.2414,0.8722,404,4.9937,3.5088,120.1473,24.3765,1.4148,0.55,0.25,0.48,4.2582,1
ClapBackGame,830,376,157,446,1315,5,0.453,0.4398,0.0253,16,1.5445,1.2848,19085,88.4636,73.5874,109.4609,19.7446,5.4322,0.54,0.43,0.44,30.9976,0
ClaressaSwensen,853,34,150,50,137,3,0.0399,0.1489,0.0211,4,0.3235,0.22,3,0.8235,0.56,115.7059,21.2479,1.5,0.29,0.18,0.53,0.5086,0
claudiafire,2578,10291,100,973,1305,23,3.9919,0.0101,0.0908,64,0.885,0.9096,44372,941.776,967.9096,127.848,-2.2267,1.4704,0.25,0.04,0.60,375.7686,0
ClayBoutwell,3264,6237,138,25113,20515,188,1.9108,0.2714,0.0003,9,0.38,0.0151,6,0.141,0.0056,75.838,27.8175,1.6022,0.19,0.10,0.39,0.0147,0
cleebration,4069,100460,148,8399,6150,704,24.6891,0.9059,0.0093,75,1.462,0.1741,131,0.477,0.0568,118.411,23.2448,1.3647,0.34,0.01,0.87,0.0363,0
CloakedPress,494,2165,152,418,378,19,4.3826,0.7105,0.4676,8,0.616,1.4737,154605,200.386,479.3923,104.054,18.3999,2.7946,0.41,0.06,0.73,89.7729,0
closetsamples,3444,113718,157,6727,3891,611,33.0192,1.7639,0.1626,7,0.11,0.0164,22473,464.712,69.0816,108.6,23.8829,1.8457,0.64,0.23,0.52,292.3038,0
CloudBusiness9,2205,25854,143,5964,803,539,11.7252,14.1052,0.2068,22,1.055,0.1769,75683,129.911,21.7825,116.645,40.6559,1.5268,0.35,0.15,0.39,76.5176,0
CMSPioneer,1584,210,117,380,201,3,0.1326,0.0202,0.0221,18,1.3128,0.7289,11,1.2701,0.7053,115.6019,35.5179,1.0682,0.21,0.13,0.54,0.6922,0
CoffeeGeek,3783,68933,115,27309,179,1154,18.2218,1.7769,0.0209,82,2.845,0.1042,450858,1259.818,46.132,118.67,17.8332,1.2927,0.08,0.04,0.57,355.2687,0
Collectingtoyz,2693,20434,160,733,874,102,7.5878,8.0512,0.2046,10,0.155,0.2115,37805,3914.142,5339.8936,116.793,38.1744,3.1055,0.60,0.28,0.46,2348.4852,0
commanderinmtg,1177,13509,156,4127,224,37,11.4775,19.7969,0.1003,331,3.637,0.8813,115205,197.18,47.778,97.705,25.6935,1.2893,0.12,0.06,0.42,51.2668,0
common_clarity,2171,275,125,377,298,39,0.1267,0.2736,0.0507,133,2.8974,2.0981,20868,145.9451,105.6844,113.1722,26.6269,2.0862,0.64,0.20,0.56,87.6692,0
cooldealselect,663,11713,123,7604,6949,968,17.6667,12.1297,0.2232,31,0.362,0.0476,2491,5.932,0.7801,93.755,17.6226,2.0403,0.15,0.19,0.83,1.6135,0
coolmaterial,3687,19104,16,43177,265,1309,5.1814,0.0046,0.0,82,3.517,0.0815,29,0.871,0.0202,88.8,7.1316,0,0.00,0.99,1.00,0.4155,0
CoolWearables,1483,4079,80,218,6,25,2.7505,0.0,0.0,6,0.156,0.7156,14,0.077,0.3532,76.345,11.3306,1.4783,0.71,0.22,1.00,0.0038,0
coopershill1,1971,16830,128,1467,1006,71,8.5388,3.9335,0.037,14,0.893,0.6087,1325,4.197,2.8609,111.94,26.6575,2.1307,0.70,0.13,0.76,1.3388,0
coopnews,3445,17496,134,19386,10262,718,5.0787,0.384,0.0116,292,4.725,0.2437,152,3.684,0.19,132.917,19.5258,1.4056,0.68,0.14,0.95,2.8551,0
CorpGraffitiArt,2443,2567,87,1439,1043,82,1.0508,2.4286,0.0151,18,2.258,1.5691,64021,95.531,66.3871,112.355,34.9432,1.4684,0.19,0.12,0.74,29.0414,0
corygodbey,3358,25366,89,7177,436,243,7.5539,2.841,0.089,1207,12.506,1.7425,11572,43.433,6.0517,95.321,20.9669,1.4138,0.09,0.29,0.29,20.7175,0
