screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score,Followwonk,,
MeaKitty,3399,63140,133,422,149,32,18.5761,0.6125,0.0809,13,0.411,0.9739,399544,840.721,1992.2299,120.121,27.2966,1.5263,0.23,0.09,0.6,0.411,345.5363,42,,
ProfClayton,3243,14551,115,1260,687,156,4.4869,3.8723,0.0419,238,3.955,3.1389,195232,1395.8,1107.7778,111.703,20.1552,1.558,0.32,0.09,0.49,0.247,344.7626,54,,
housefrau_,374,4643,114,167,214,0,12.4144,60.5775,0.4465,97,2.355,14.1018,179690,1516.471,9080.6647,78.404,14.8447,1.4737,0.04,0.46,0.2,0.225,341.206,34,,
robertapagnini,2339,32314,30,337,631,35,13.8153,0.9389,0.3382,3,0.035,0.1039,64853,425.047,1261.2671,110.368,5.1966,2.9764,0.47,0.29,0.28,0.801,340.4626,50,,
SpiidiOnNoita,1552,109190,130,2279,1397,52,70.3544,39.0677,0.2384,59,0.836,0.3668,256821,818.852,359.3032,64.118,8.3646,1.4811,0.11,0.33,0.13,0.415,339.8236,66,,
tangenghui,3314,91562,148,4196,3551,446,27.6288,0.0238,0.1222,3,0.111,0.0265,128556,755.888,180.1449,107.762,19.5141,2.6732,0.41,0.15,0.46,0.444,335.6143,47,,
RichGetz,3526,18424,157,823,1026,30,5.2252,5.2099,0.0771,110,1.147,1.3937,135427,1004.972,1221.1081,99.286,3.3729,1.6882,0.09,0.05,0.34,0.333,334.6557,48,,
aawato,1220,9885,142,1960,401,15,8.1025,8.1361,0.1934,309,4.547,2.3199,103062,957.84,488.6939,87.343,13.3008,1.3654,0.05,0.22,0.22,0.349,334.2862,52,,
BlackHeartPress,2592,2266,37,1187,345,40,0.8742,1.7886,0.0876,10,0.578,0.4869,138353,1177.568,992.0539,94.601,14.5784,1.694,0.18,0.08,0.36,0.282,332.0742,49,,
GiveUpArt,3261,9672,100,3839,2719,112,2.966,0.8332,0.1285,47,1.011,0.2633,209517,617.601,160.8755,90.949,22.7059,1.2613,0.2,0.14,0.4,0.532,328.5637,47,,
muskrat_john,3757,136189,160,18483,987,1182,36.2494,12.0958,0.1166,144,5.014,0.2713,128108,543.569,29.4091,98.812,15.1133,1.3882,0.09,0.15,0.38,0.596,323.9671,70,,
larazontally,3292,18759,119,2127,1581,75,5.6984,2.041,0.0465,187,6.967,3.2755,252519,952.597,447.8594,91.342,18.9004,1.623,0.06,0.06,0.43,0.338,321.9778,53,,
RittervonRost,1024,7320,0,283,389,1,7.1484,4.0928,0.5732,11,0.266,0.9399,41318,361.111,1276.0106,102.634,-8.5469,1.8068,0.09,0.16,0.65,0.889,321.0277,42,,
nucaica,2489,12786,142,1597,2644,79,5.137,12.8959,0.1378,88,1.84,1.1522,65228,736.114,460.9355,110.75,10.5891,1.6705,0.18,0.13,0.44,0.436,320.9457,59,,
OmgItsTopher_,1412,6420,58,119,133,19,4.5467,5.0545,0.1289,15,0.311,2.6134,327345,1577.474,13256.084,79.432,16.2706,1.4133,0.38,0.21,0.26,0.203,320.2272,45,,
soitistoldcast,868,4359,156,904,1119,14,5.0219,6.7051,0.6567,87,1.409,1.5586,156866,458.539,507.2334,114.048,14.8067,1.8282,0.29,0.1,0.32,0.697,319.6017,43,,
snarkydogmom,1684,8366,99,624,827,1,4.9679,37.6574,0.1781,624,2.008,3.2179,150876,1006.907,1613.633,85.728,17.1547,1.5094,0.05,0.07,0.16,0.317,319.1895,47,,
bossfan2000,3489,3735,102,1003,1326,116,1.0705,0.0519,0.0843,9,0.223,0.2223,676936,963.925,961.0419,95.318,10.0428,1.3657,0.13,0.06,0.66,0.331,319.0592,42,,
Gelada,3367,14791,160,3980,798,277,4.3929,0.6421,0.1533,240,2.819,0.7083,201743,512.86,128.8593,117.035,19.8784,1.7639,0.23,0.16,0.3,0.622,318.9989,44,,
RossRintala,3054,31020,119,6629,1107,16,10.1572,9.6431,0.0229,943,40.069,6.0445,253281,649.209,97.9347,86.302,33.368,1.2481,0.13,0.1,0.3,0.489,317.4632,62,,
uniteditions,3287,6748,123,19045,343,394,2.0529,1.317,0.1168,320,11.592,0.6087,151143,390.256,20.4913,112.802,24.5124,1.385,0.21,0.31,0.65,0.808,315.3268,62,,
BrianBuchanan57,3083,8521,75,7,97,2,2.7639,2.5478,0.086,33,1.497,213.8571,213152,989.542,141363.1429,88.399,10.6089,1.2921,0.09,0.18,0.2,0.317,313.6848,41,,
JonathanBobrow,3384,4730,150,770,447,37,1.3978,1.7125,0.0567,38,1.004,1.3039,252104,1080.715,1403.526,109.868,42.134,1.2632,0.17,0.14,0.52,0.288,311.2459,46,,
THE_FURY_C_i,2011,18871,0,142,166,15,9.3839,28.1969,0.1462,2,0.024,0.169,74816,1044.611,7356.4155,105.505,2.1404,1.541,0.06,0.23,0.54,0.297,310.2495,51,,
DynInterference,2852,8913,160,2685,582,85,3.1252,0.3552,0.0996,46,1.613,0.6007,345740,891.511,332.0339,105.578,11.7669,1.418,0.19,0.1,0.43,0.345,307.5713,51,,
ghimlay,3283,24185,141,7921,815,303,7.3667,0.0822,0.1148,333,2.594,0.3275,327148,475.283,60.0029,114.308,10.1165,1.3585,0.11,0.14,0.46,0.627,298.0024,58,,
tonyboydell,3433,5183,79,708,279,31,1.5098,0.5514,0.06,148,1.434,2.0254,365286,1073.547,1516.3093,82.336,8.794,1.5588,0.1,0.06,0.35,0.275,295.2254,46,,
closetsamples,3448,113758,157,6720,3888,611,32.9925,1.761,0.1624,7,0.11,0.0164,22473,464.712,69.1536,108.6,23.8829,1.8457,0.64,0.23,0.52,0.629,292.3038,44,,
seankmckeever,3034,39582,152,5878,1119,248,13.0461,13.3767,0.088,45,1.525,0.2594,150141,880.235,149.7508,82.092,12.3618,1.6111,0.04,0.14,0.27,0.331,291.3578,63,,
BrownLeatherGuy,1540,4564,80,495,106,19,2.9636,0.0883,0.1701,159,1.595,3.2222,68114,733.789,1482.402,100.316,6.1693,1.5435,0.05,0.14,0.43,0.395,289.8467,42,,
XianMind,2695,20928,143,2009,1630,62,7.7655,5.5403,0.1781,57,1.872,0.9318,161533,433.593,215.8253,114.225,10.9398,1.4,0.05,0.07,0.39,0.662,287.0386,58,,
eyre_joe,2609,1166,76,1025,1830,12,0.4469,1.1207,0.187,45,1.835,1.7902,194852,418.294,408.0917,116.893,41.4391,1.1675,0.2,0.06,0.34,0.677,283.185,28,,
DryadTea,2279,3690,156,588,350,31,1.6191,1.2383,0.0825,39,2.273,3.8656,155958,924.375,1572.0663,95.875,29.6249,1.5443,0.08,0.18,0.37,0.304,281.01,43,,
WVUFLU,3421,8078,79,3786,964,52,2.3613,0.5519,0.0702,522,17.821,4.7071,93001,431.143,113.8782,101.63,14.4606,1.2982,0.28,0.05,0.46,0.648,279.3807,49,,
adelaide_rain,2641,13566,116,246,227,8,5.1367,7.9281,0.0557,33,1.336,5.4309,175987,1666.467,6774.2561,79.093,17.2056,1.1143,0.04,0.2,0.2,0.167,278.3,46,,
cyp,2830,10869,101,26948,662,208,3.8406,0.6442,0.0431,2276,52.836,1.9607,73198,406.525,15.0855,67.301,20.9644,1.4207,0.33,0.11,0.37,0.684,278.0631,81,,
wolfgang8741,3388,3175,156,1215,4419,74,0.9371,0.7831,0.1266,28,0.727,0.5984,328728,529.885,436.1193,126.508,20.7631,1.4027,0.3,0.04,0.53,0.521,276.0701,41,,
YoungAntiqueman,3356,2041,118,160,337,8,0.6082,0.5802,0.1135,15,0.501,3.1313,146692,667.591,4172.4438,99.744,18.1956,1.4457,0.37,0.31,0.35,0.409,273.0447,30,,
LosingLara,3065,11535,144,310,531,24,3.7635,1.9318,0.0254,17,0.983,3.171,373399,1360.508,4388.7355,94.746,24.5339,1.875,0.22,0.07,0.64,0.199,270.7411,51,,
grumpyvegan,3439,15097,160,3609,1632,173,4.3899,0.5409,0.0933,74,1.088,0.3015,60788,486.522,134.808,121.918,12.8865,1.5093,0.27,0.03,0.6,0.555,270.0197,53,,
erincasey09,1138,1236,153,1893,3095,29,1.0861,1.9631,0.0967,33,1.9357,0.9223,450650,895.2738,426.5911,97.6552,26.8153,1.8436,0.2,0.07,0.41,0.3004,268.9403,43,,
ArtByEmilyHare,1656,4656,60,2755,1167,77,2.8116,2.5827,0.0803,315,6.541,2.3742,180615,822.006,298.3688,83.003,35.8628,2.4493,0.14,0.08,0.36,0.326,267.974,51,,
anatotitan,3614,45262,126,3487,2226,240,12.5241,3.8257,0.1303,1137,4.406,1.2636,105834,436.794,125.2636,109.798,20.2109,1.4883,0.21,0.16,0.33,0.613,267.7547,62,,
kirileonard,3084,8592,124,2630,586,141,2.786,1.809,0.0616,431,6.039,2.2962,235256,708.38,269.346,96.904,36.8174,1.6854,0.27,0.08,0.49,0.377,267.0593,55,,
JorgeBucaran,664,2313,145,1137,82,29,3.4834,0.0979,0.6325,177,1.741,1.5312,126550,506.475,445.4485,102.677,20.2411,1.7266,0.13,0.09,0.38,0.526,266.4059,37,,
ZeronisART,1750,4291,156,46223,601,477,2.452,2.4491,0.1366,7072,140.466,3.0389,85823,519.283,11.2343,83.737,28.8842,1.9535,0.13,0.2,0.35,0.508,263.7958,73,,
robkroese,3382,88927,118,8921,2554,576,26.2942,19.0618,0.1239,144,4.927,0.5523,106597,385.409,43.2024,97.158,3.6615,1.1333,0.03,0.04,0.51,0.682,262.8489,73,,
SapphireSteamy,1969,25403,142,85637,1419,79,12.9015,0.387,0.3433,5,0.114,0.0013,79401,295.468,3.4502,125.274,0.6146,11.1069,0.84,0.05,0.39,0.887,262.0801,61,,
jacquenodell,2984,5820,157,760,540,43,1.9504,2.306,0.1049,236,2.295,3.0197,135655,542.613,713.9645,104.458,35.9679,1.8374,0.2,0.18,0.45,0.478,259.369,48,,
tophersimmons,3161,35171,156,654,424,313,11.1265,0.2879,0.1354,14,0.166,0.2538,146693,576.284,881.1682,111.215,9.2337,1.5538,0.25,0.1,0.56,0.45,259.3278,50,,
nuancedminutiae,1707,3251,107,619,1729,17,1.9045,9.5044,0.0996,76,1.64,2.6494,282918,1141.537,1844.1632,105.917,31.1686,1.2206,0.07,0.1,0.39,0.227,259.1289,38,,
PuncherLongo,836,2932,101,73,443,1,3.5072,1.9055,0.3864,6,0.116,1.589,276291,757.131,10371.6575,112.283,-4.2585,1.4444,0.1,0.07,0.54,0.338,255.9103,32,,
balio85,3796,4296,160,237,164,7,1.1317,0.0013,0.0909,5,0.064,0.27,210033,616.034,2599.2996,94.257,9.0006,2.3638,0.69,0.19,0.44,0.415,255.6541,7,,
birdnfox,128,1075,147,113,171,0,8.3984,17.2891,2.0391,12,0.6949,5.7434,150082,778.9604,6438.4867,90.8961,19.3497,1.5143,0.07,0.12,0.4,0.3266,254.4085,23,,
johnguzlowski,2228,24644,126,9905,8139,206,11.061,3.5099,0.2181,588,9.621,0.9713,169285,352.425,35.5805,95.1,9.3383,1.7209,0.04,0.07,0.23,0.721,254.0984,74,,
stephanie_draws,1209,1967,130,860,670,27,1.627,8.9471,0.0868,5036,9.411,10.943,853141,1352.603,1572.7942,89.89,24.3252,1.5204,0.1,0.1,0.33,0.185,250.2316,47,,
Morgannn_Sierra,1434,2521,32,500,461,2,1.758,5.3689,0.2197,65,2.741,5.482,78550,482.457,964.914,55.558,26.4188,1.0455,0.02,0.25,0.05,0.518,249.9127,48,,
jennywbristol,3782,23411,155,2479,585,121,6.1901,0.9024,0.0394,93,0.656,0.2646,298780,1330.89,536.8657,94.89,25.8329,1.837,0.14,0.09,0.43,0.187,248.8764,55,,
Mosioatunya11,866,16556,101,371,104,9,19.1178,42.4584,0.8903,7,0.204,0.5499,47313,303.828,818.9434,124.701,-4.5022,1.4904,0.1,0.08,0.23,0.812,246.7083,54,,
LonnaSeibert,739,4640,134,1977,1596,29,6.2788,14.5751,0.1055,49,4.911,2.4841,234117,1315.694,665.5003,109.333,21.5947,1.064,0.3,0.02,0.55,0.187,246.0348,51,,
Asako_Soh,2329,91447,124,6036,6633,182,39.2645,49.4109,0.3134,43,0.679,0.1125,113492,326.555,54.1012,115.229,23.2147,1.5333,0.23,0.09,0.14,0.753,245.8959,65,,
TheIanLemke,1572,1551,159,221,664,1,0.9866,3.1031,0.1094,54,1.561,7.0633,200865,979.368,4431.5294,96.076,8.8462,1.4348,0.23,0.11,0.31,0.251,245.8214,23,,
land_patricio,777,2030,116,766,1377,21,2.6126,12.5586,0.3102,35,1.957,2.5548,245952,610.065,796.4295,89.474,18.5323,1.9904,0.1,0.04,0.33,0.399,243.4159,47,,
BadSquiddoGames,1934,16838,148,4622,3960,84,8.7063,7.0315,0.1536,233,7.902,1.7096,130785,549.997,118.9955,96.664,15.3805,1.4536,0.1,0.26,0.24,0.437,240.3487,57,,
LucyScholes,2517,9274,150,3198,1404,77,3.6845,2.0068,0.1609,101,3.174,0.9925,89088,404.673,126.5394,109.584,24.8084,1.2778,0.07,0.08,0.42,0.587,237.5431,46,,
Jipin,3407,39185,40,1456,920,39,11.5013,7.3223,0.0561,52,0.942,0.647,189443,1134.6,779.2582,89.633,15.3704,1.5368,0.1,0.19,0.22,0.209,237.1314,61,,
OneShotRPG,1750,41547,134,8244,1295,197,23.7411,42.6189,0.1594,982,12.982,1.5747,169329,548.974,66.5907,90.203,20.318,1.4932,0.07,0.12,0.29,0.424,232.765,70,,
mattfaulisi,3721,10259,108,545,634,16,2.7571,1.3316,0.0309,104,1.351,2.4789,379938,1298.711,2382.956,82.876,26.2265,1.266,0.09,0.19,0.26,0.178,231.1706,40,,
von_randgriz,2572,1338,0,34,42,0,0.5202,0.1065,0.056,39,0.515,15.1471,190600,1107.507,32573.7353,86.647,13.2446,1.5581,0.13,0.13,0.16,0.207,229.2539,19,,
amandamakepeace,3681,34641,154,2006,748,221,9.4108,4.338,0.0714,39,2.169,1.0813,378922,571.436,284.8634,101.682,32.9622,1.7988,0.17,0.14,0.38,0.398,227.4315,60,,
DaveNeWaza,3211,5361,9,217,174,8,1.6696,0.1165,0.0716,23,0.543,2.5023,118921,865.543,3988.6774,95.261,-0.464,1.4103,0.16,0.24,0.32,0.26,225.0412,39,,
TheMarsSociety,3583,12240,116,17750,539,625,3.4161,0.252,0.1013,127,6.762,0.381,154613,232.85,13.1183,112.2,11.4433,1.7166,0.25,0.12,0.81,0.964,224.4674,64,,
Tiber_wow,1084,14249,68,570,800,22,13.1448,36.452,0.2777,16,0.684,1.2,125107,706.854,1240.0947,77.785,22.2437,1.1667,0.04,0.11,0.21,0.316,223.3659,58,,
Russell_Brower,2960,1387,103,19508,627,397,0.4686,0.8007,0.1645,407,7.077,0.3628,263338,304.504,15.6092,109.995,39.6121,1.5433,0.34,0.19,0.18,0.728,221.6789,49,,
zincronicity,764,6758,26,620,512,4,8.8455,20.6086,0.3455,91,2.155,3.4758,111357,648.299,1045.6435,77.675,3.7523,1.225,0.04,0.25,0.24,0.341,221.07,41,,
haydnroff,2658,2687,84,63,82,0,1.0109,2.7464,0.0512,6,0.265,4.2063,410530,1254.599,19914.2698,64.877,10.3091,1.1698,0.05,0.04,0.07,0.175,219.5548,30,,
ArcaneVoid,1757,1323,143,45,227,0,0.753,0.5003,0.0649,195,1.288,28.6222,83213,915.267,20339.2667,105.209,12.5729,1,0.02,0.03,0.27,0.238,217.8335,22,,
PieterCappelle,3891,22635,110,1271,2328,49,5.8173,0.898,0.0599,129,0.606,0.4768,147597,748.11,588.5995,83.736,3.1631,1.2965,0.34,0.1,0.26,0.29,216.9519,52,,
Angus_A,3661,2763,160,1881,1791,90,0.7547,0.1745,0.0825,47,1.338,0.7113,369054,459.3,244.1786,124.106,16.9464,1.5541,0.16,0.27,0.68,0.472,216.7896,52,,
ChrisNicol,3501,2475,60,271,162,28,0.7069,0.1745,0.0391,11,0.26,0.9594,200495,1235.338,4558.4428,96.651,17.1203,1.7275,0.37,0.04,0.53,0.175,216.1841,36,,
KJKabza,2684,13249,159,472,165,42,4.9363,0.1449,0.0805,64,1.904,4.0339,88442,695.345,1473.1886,109.706,19.9704,1.4043,0.05,0.1,0.45,0.31,215.5569,41,,
PlanBstudio,3665,42555,128,2425,75,139,11.6112,0.0467,0.0145,65,0.261,0.1076,1701394,2497.029,1029.7027,93.331,24.5987,1.1316,0.04,0.02,0.7,0.086,214.7445,52,,
atassani,3054,2652,49,797,547,54,0.8684,0.3314,0.1067,35,1.71,2.1455,124099,387.875,486.6688,100.182,22.7105,1.3192,0.35,0.21,0.33,0.548,212.5555,44,,
DropTheDie,2719,18610,160,4751,979,84,6.8444,10.0397,0.0537,587,12.225,2.5731,175997,719.52,151.446,102.524,19.875,1.7788,0.1,0.08,0.42,0.293,210.8194,66,,
BoingBoing,4069,224081,34,235562,2175,13155,55.0703,3.565,0.0573,1508,10.195,0.0433,66381,240.827,1.0224,118.036,3.017,1.0484,0.06,0.48,0.89,0.864,208.0745,82,,
Raidrith,2604,3115,153,195,277,4,1.1962,1.8118,0.086,78,1.322,6.7795,327345,726.45,3725.3846,111.385,19.0523,1.792,0.33,0.14,0.52,0.285,207.0383,32,,
netzvagabund,3417,8929,81,683,1783,63,2.6131,2.4524,0.0538,52,1.59,2.328,215948,913.03,1336.7936,94.761,-0.2175,1.3937,0.13,0.07,0.21,0.226,206.3448,57,,
revsarahheath,1395,1740,145,2133,1199,34,1.2473,2.1634,0.0738,376,5.431,2.5462,349639,803.069,376.4974,100.664,31.5027,1.5566,0.21,0.02,0.47,0.254,203.9795,47,,
rajupp,3555,111225,159,24186,1489,719,31.2869,1.13,0.0405,81,4.023,0.1663,201708,479.795,19.8377,86.4,10.3817,1.2148,0.14,0.07,0.33,0.423,202.9533,71,,
MauraWilding,3429,13089,89,5194,4972,192,3.8171,3.3535,0.1336,293,3.135,0.6036,132790,348.776,67.1498,110.921,36.089,1.2289,0.2,0.1,0.31,0.58,202.2901,54,,
NightSkyGames,2487,11445,154,1835,807,67,4.6019,10.955,0.0547,48,3.215,1.752,113472,709.348,386.5657,104.908,21.1137,1.175,0.16,0.07,0.49,0.285,202.1642,50,,
dehmohnic,79,1421,0,131,83,0,17.9873,4.8861,1.7975,69,0.5707,3.6336,99714,1036.711,6600.1298,49.048,6.242,1,0,0.12,0.18,0.1942,201.3293,13,,
lgbtkenobi,2482,143050,67,6904,168,325,57.635,23.911,0.06,62333,74.021,10.7215,139955,555.878,80.5154,74.625,7.0013,1.3636,0.01,0.3,0.3,0.357,198.4484,76,,
B_Crilly,1972,2970,151,707,654,50,1.5061,2.2875,0.11,177,3.04,4.2999,126286,466.724,660.1471,123.072,26.1879,1.3763,0.28,0.04,0.55,0.425,198.3577,45,,
Jamie1km,3636,40789,81,2125,1103,140,11.2181,1.0677,0.0432,53,0.971,0.4569,109253,683.431,321.6146,101.936,11.7856,1.5714,0.11,0.1,0.49,0.29,198.195,51,,
CandlemonkeyH,1746,1925,97,551,662,29,1.1025,4.642,0.0739,59,2.091,3.7949,65075,436.169,791.5953,99.153,24.2361,2.5302,0.21,0.09,0.42,0.454,198.0207,47,,
Brandon_Nocaute,1125,77879,101,2920,875,85,69.2258,54.0276,0.1582,259,2.63,0.9007,110482,642.351,219.9832,88.879,12.4313,1.1026,0.16,0.08,0.3,0.307,197.2018,63,,
Miss_Engineered,2474,5941,149,1122,108,11,2.4014,0.4535,0.0416,20,2.237,1.9938,162262,710.702,633.4242,91.735,10.3401,1.1192,0.15,0.08,0.08,0.276,196.1538,46,,
inclusive_games,754,1008,38,406,691,10,1.3369,1.0398,0.435,15,0.585,1.4409,106775,390.513,961.8547,94.994,17.6104,2.0312,0.16,0.17,0.62,0.502,196.0375,36,,
A1GOY,3435,51380,152,12273,1123,217,14.9578,0.071,0.0434,303,5.384,0.4387,182534,730.023,59.482,86.094,9.3548,1.2,0.03,0.13,0.26,0.268,195.6462,57,,
SchneeCreations,506,1251,129,1898,139,12,2.4723,2.5968,0.2569,651,16.364,8.6217,153650,505.819,266.5011,89.525,48.8325,2.3333,0.05,0.24,0.22,0.377,190.6938,56,,
DNewmanStille,937,5222,136,593,447,19,5.5731,6.6147,0.3372,33,1.597,2.6931,140218,348.186,587.1602,113.806,21.3358,1.2469,0.24,0.1,0.44,0.547,190.4577,46,,
featureshoot,3401,40702,108,145913,2066,2458,11.9677,0.0785,0.0235,75,8.595,0.0589,52770,234.828,1.6094,137.955,10.5556,1.3469,0.27,0.02,0.94,0.811,190.4455,61,,
osamadorias,1669,4384,160,1564,783,55,2.6267,12.1402,0.1875,290,2.91,1.8606,82538,538.793,344.4968,80.947,25.7084,1.6477,0.09,0.09,0.12,0.353,190.1939,54,,
pdubarry,3287,5592,138,2932,1705,114,1.7012,1.3699,0.0791,55,1.693,0.5774,178945,468.531,159.7991,92.94,26.2153,1.2807,0.17,0.21,0.32,0.403,188.818,52,,
FionaLakeAus,2841,76061,160,7277,5102,331,26.7726,9.0971,0.1334,56,1.548,0.2127,122976,384.832,52.8833,119.593,15.5597,1.4604,0.14,0.08,0.37,0.486,187.0284,67,,
NavidGornall,3493,2640,80,1413,1988,35,0.7558,0.0968,0.0575,19,0.278,0.1967,183301,654.861,463.4544,87.576,15.4147,1.4855,0.28,0.13,0.56,0.285,186.6354,36,,
mystikka,3740,3234,124,1910,1567,43,0.8647,0.6067,0.0572,6,0.284,0.1487,98516,734.564,384.5885,95.641,16.0783,2.6328,0.46,0.1,0.64,0.252,185.1101,47,,
sallytheobald,1705,3335,158,1633,882,42,1.956,1.4886,0.4334,25,1.648,1.0092,132882,194.768,119.2701,131.087,29.7238,1.615,0.4,0.08,0.36,0.95,185.0296,59,,
mrfeelswildride,1403,25651,23,14802,421,182,18.283,0.221,0.0969,10205,52.746,3.5634,76523,326.747,22.0745,83.405,1.0419,1.1429,0.01,0.13,0.23,0.563,183.9586,80,,
x_walter,3310,130954,159,7726,5862,373,39.5631,14.2489,0.1456,12,0.121,0.0157,6908,355.994,46.0774,102.419,54.8667,2.029,0.48,0.03,0.17,0.513,182.6249,61,,
rpg_crunch,566,1617,160,436,809,16,2.8569,2.341,1.1166,9,0.501,1.1491,90269,258.34,592.5229,118.187,26.5514,1.9731,0.34,0.08,0.34,0.705,182.1297,36,,
LobShots,2804,37791,150,6069,983,167,13.4775,4.0485,0.0999,671,7.86,1.2951,131790,393.143,64.7789,91.121,19.421,1.2136,0.1,0.21,0.36,0.463,182.0252,67,,
Microcosmmm,3311,12047,129,3865,1656,258,3.6385,1.6173,0.087,18,0.915,0.2367,169239,380.363,98.4122,119.236,20.7442,1.8714,0.35,0.07,0.74,0.477,181.4332,53,,
blasianFMA,3722,61699,86,1377,243,64,16.5768,3.4242,0.0344,112,1.508,1.0951,169983,851.314,618.2382,95.061,10.6408,1.2524,0.21,0.13,0.43,0.213,181.3299,57,,
BettaGamesHQ,875,3525,147,726,692,17,4.0286,3.8846,0.4103,131,2.856,3.9339,115190,355.104,489.124,113.681,14.1214,3.0094,0.42,0.27,0.39,0.507,180.0377,40,,
EthanFleischer,3189,10282,73,3133,220,150,3.2242,0.6337,0.042,387,6.548,2.09,156393,621.2,198.2764,94.501,14.3516,1.1844,0.14,0.09,0.29,0.288,178.9056,56,,
alexhibbert,3492,14605,160,70625,1760,843,4.1824,0.0335,0.0427,316,8.12,0.115,184413,313.725,4.4421,115.703,14.25,1.7818,0.22,0.12,0.56,0.566,177.5684,62,,
OnlyPlayWizards,2204,6284,116,333,561,32,2.8512,1.2096,0.044,149,1.745,5.2402,380320,536.288,1610.4745,122.186,15.38,2.2448,0.62,0.13,0.77,0.331,177.5113,40,,
Skye_sant,2732,5590,106,299,207,51,2.0461,0.0582,0.1186,13,0.235,0.786,147355,504.805,1688.311,107.985,25.9259,1.3697,0.28,0.07,0.52,0.35,176.6818,36,,
insertquesthere,1196,3198,125,250,342,13,2.6739,5.0217,0.2241,35,0.975,3.9,63410,503.362,2013.448,98.835,18.4363,1.2453,0.05,0.04,0.31,0.342,172.1498,39,,
MarkOblivious,3317,1994,148,881,352,83,0.6011,0.2291,0.0314,215,1.874,2.1271,155946,248.712,282.3065,109.971,28.689,2.546,0.54,0.43,0.52,0.691,171.86,46,,
fabiojose80,3367,9693,125,575,283,42,2.8788,0.057,0.1016,3,0.08,0.1391,168369,450.988,784.327,102.475,2.4786,1.3421,0.19,0.13,0.6,0.379,170.9245,46,,
KellyMacFarlane,2962,9563,145,554,705,24,3.2286,0.5733,0.2384,26,0.452,0.8159,183772,209.246,377.7004,132.393,42.9008,1.2952,0.21,0.03,0.27,0.816,170.7447,47,,
baldengineer,3905,6122,113,1906,637,94,1.5677,0.3004,0.0707,52,1.926,1.0105,281312,333.86,175.1626,108.626,11.1098,1.2692,0.13,0.28,0.67,0.509,169.9347,46,,
Mocha_Soul,2762,15495,128,1346,2308,4,5.6101,5.3302,0.1745,86,2.403,1.7853,42370,284.654,211.4814,124.827,0.5218,1.37,0.1,0.04,0.44,0.596,169.6538,48,,
Zakoholic,3406,6077,49,128,178,9,1.7842,3.1033,0.0517,61,1.141,8.9141,166706,678.979,5304.5234,98.902,27.4199,2.1535,0.21,0.19,0.27,0.246,167.0288,46,,
SCP_1247,2616,22155,132,861,802,7,8.469,2.8792,0.104,48,2.047,2.3775,68374,418.009,485.4925,83.73,2.4934,1.1333,0.01,0.24,0.26,0.398,166.3676,45,,
DistilUnion,2267,5978,131,1862,836,88,2.637,3.6775,0.0618,100,0.923,0.4957,239007,760.71,408.5446,105.599,29.6468,1.4048,0.21,0.31,0.48,0.216,164.3134,52,,
lalasdreambox,3355,8436,132,1046,536,35,2.5145,0.1386,0.0197,117,4.4971,3.6587,277359,364.4559,296.5124,102.7239,23.8198,3.8051,0.6,0.4,0.53,0.4489,163.6043,48,,
Denis_Loubet,1332,2569,41,827,86,20,1.9287,8.289,0.048,126,3.522,4.2588,146699,750.071,906.9782,84.239,12.7832,1.2857,0.02,0.08,0.2,0.218,163.5155,49,,
GoodmanGames,3319,1610,9,5900,202,274,0.4851,0.5026,0.0723,461,7.5,1.2712,248278,260.078,44.081,106.015,20.8371,1.7436,0.2,0.34,0.54,0.612,159.1677,58,,
PHISHpointO,1893,27539,143,1324,1019,38,14.5478,19.3217,0.0407,84,1.411,1.0657,414987,1563.583,1180.9539,81.613,11.7579,1.1176,0.05,0.1,0.28,0.101,157.9219,59,,
vingar,3434,15984,124,2059,2993,1491,4.6546,1.0847,0.0597,14,0.487,0.2365,177655,526.114,255.5192,121.63,18.8998,2.0982,0.4,0.08,0.76,0.3,157.8342,5,,
MaeSimkin,1520,13545,32,292,632,4,8.9112,13.9454,0.0862,50,1.454,4.9795,119909,992.112,3397.6438,65.487,18.0085,1.191,0.09,0.14,0.14,0.158,156.7537,37,,
TheSpellCast,379,1285,153,990,881,28,3.3905,8.095,0.8918,68,2.267,2.2899,122453,298.256,301.2687,120.899,23.0499,2.5242,0.45,0.1,0.5,0.523,155.9879,42,,
RealComicSutra,3285,38492,159,1674,1514,146,11.7175,0.2399,0.0301,35,0.453,0.2706,201057,852.098,509.0191,113.6,10.0084,1.4091,0.37,0.35,0.67,0.183,155.9339,58,,
mrmkay,3686,2576,123,845,831,54,0.6989,0.1042,0.1145,12,0.519,0.6142,137452,258.209,305.5728,114.949,18.8506,1.593,0.6,0.2,0.64,0.599,154.6672,36,,
pixelmelter,3678,32621,127,9837,2632,181,8.8692,1.4323,0.0272,57,0.787,0.08,188552,1129.295,114.8008,78.707,6.9424,1.338,0.07,0.19,0.28,0.135,152.4548,32,,
