screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score,Followwonk,,
GabriellaR613,188,77750,95,8224,8074,11,413.5638,257.4681,4.8404,33,0.415,0.0505,37554,846.809,102.968,127.412,-2.2555,1.8242,0.17,0.11,0.28,0.975,825.6388,67,,
Hazel_ok,2476,13403,143,1686,1149,105,5.4132,16.0254,0.1511,174,2.523,1.4964,238905,1867.765,1107.8084,122.876,8.7761,1.2623,0.06,0.05,0.48,0.441,823.6844,58,,
vitamind64,788,5397,23,82,592,0,6.849,38.4353,0.3236,103,0.984,12,241342,2935.923,35803.939,59.353,8.0336,1.5455,0.01,0.33,0.07,0.28,822.0584,33,,
pjwilks,2097,69388,143,891,699,100,33.0892,0.0763,0.3243,37,0.244,0.2738,392760,1174.224,1317.8721,105.408,28.9894,2.3321,0.28,0.1,0.13,0.697,818.4341,50,,
steamgirlgame,2364,5260,97,853,887,49,2.225,2.2428,0.1121,191,1.082,1.2685,250899,2594.117,3041.1688,122.209,21.1965,1.68,0.05,0.07,0.51,0.314,814.5527,46,,
datafaucet,3638,16906,72,5310,2272,172,4.6471,8.6333,0.0987,87,0.821,0.1546,196656,1728.71,325.5574,122.555,25.3382,2.0467,0.15,0.1,0.59,0.467,807.3076,59,,
DelaKidd,2953,3371,160,350,968,26,1.1416,0.7995,0.0613,28,0.51,1.4571,767943,3335.438,9529.8229,93.286,12.1917,3.0292,0.34,0.05,0.48,0.236,787.1634,35,,
milkychai,2625,17812,110,5809,2173,59,6.7855,10.0114,0.1082,481,6.944,1.1954,149648,1992.023,342.9201,101.095,18.5455,1.4286,0.03,0.2,0.29,0.395,786.8491,62,,
ProgTalkPoints,324,1463,0,74,306,0,4.5154,3.7222,1.3858,21,0.36,4.8649,149925,1484.84,20065.4054,132.138,1.9591,1.8801,0.34,0.02,0.57,0.528,783.9955,12,,
NerdyFace22,1341,1605,49,27,65,1,1.1969,5.5764,0.1693,8,1.136,42.0741,188467,3326.004,123185.3333,83.623,12.0838,1.7027,0.07,0.22,0.13,0.234,778.2849,29,,
docuguy,3300,15062,148,11457,5795,309,4.5642,1.4376,0.0788,363,0.645,0.0563,225719,2327.225,203.1269,99.608,6.4538,1.4395,0.22,0.29,0.71,0.33,767.9842,32,,
eachrncls,768,1857,74,397,1162,7,2.418,11.2344,0.2969,71,1.275,3.2116,1089187,2655.695,6689.4081,103.136,13.4532,2.8511,0.05,0.16,0.41,0.284,754.2174,43,,
propsofprophecy,3349,4906,156,339,623,12,1.4649,0.5781,0.1054,140,0.927,2.7345,225013,1913.71,5645.1622,100.989,20.6222,1.4058,0.14,0.14,0.33,0.392,750.1743,28,,
labwam,3418,13240,65,343,93,9,3.8736,0.0064,0.0846,444,1.124,3.277,311861,2296.254,6694.6181,113.919,8.0373,1.24,0.05,0.08,0.31,0.323,741.69,27,,
rafaelshimunov,3312,15280,145,4761,1806,105,4.6135,7.5806,0.1135,1805,8.712,1.8299,194080,1205.745,253.2546,118.183,3.9803,1.2059,0.1,0.11,0.43,0.613,739.1217,69,,
AnyaBeaumont,2465,4308,38,1159,1410,40,1.7477,2.0333,0.2787,28,1.384,1.1941,446303,864.892,746.2399,120.635,29.6361,2.5227,0.35,0.16,0.28,0.852,736.888,45,,
jamahans,3475,2508,98,329,910,63,0.7217,1.1047,0.1678,23,0.712,2.1641,209001,1049.05,3188.6018,107.112,25.5069,1.2381,0.46,0.16,0.31,0.694,728.0407,38,,
ceciliatan,3995,78090,118,5649,1405,412,19.5469,2.2866,0.1196,8547,9.796,1.7341,115781,1245.053,220.4024,110.937,14.5498,1.1667,0.13,0.07,0.31,0.577,718.3956,62,,
amartino,4128,152804,124,28006,184,1260,37.0165,3.4062,0.0758,224,2.207,0.0788,128965,1604.343,57.2857,96.534,4.5634,1.619,0.04,0.1,0.36,0.442,709.1196,69,,
vfm_5411,912,26928,81,313,247,22,29.5263,15.636,0.8377,7,0.263,0.8403,95536,874.84,2795.016,117.983,-2.0055,1.2407,0.05,0.07,0.31,0.808,706.8707,50,,
ealbishri,2465,1024,157,458,431,5,0.4154,0.2649,0.1797,10,0.2648,0.5764,239436,1395.1424,3037.024,106.5356,14.7594,1.8053,0.23,0.16,0.5,0.5045,703.8494,36,,
MiaLiljeberg,1829,4157,150,1443,2131,73,2.2728,0.2378,0.246,7,0.17,0.1178,350551,1303.244,903.149,115.978,10.7746,1.7078,0.69,0.28,0.58,0.54,703.7518,47,,
yonatanzunger,2719,22210,135,56993,972,849,8.1684,15.4446,0.0463,914,23.919,0.4197,276358,1393.913,24.4576,119.432,5.2239,1,0.01,0.02,0.64,0.504,702.5322,80,,
LionintheTrees,1567,14415,134,4736,264,94,9.1991,24.6024,0.12,4833,15.056,3.1791,234122,2151.87,454.3644,104.678,32.0887,1.3529,0.02,0.11,0.38,0.326,701.5096,66,,
philipjreed,3511,40952,47,3437,817,225,11.6639,3.4212,0.086,58,2.708,0.7879,862187,1427.922,415.4559,105.22,11.9044,1.3578,0.11,0.43,0.63,0.483,689.6863,58,,
