name,score,,,,,,,,,,,,,,,,,,
bikeradar,66,,,,,,,,,,,,,,,,,,
biodagar,57,,,,,,,,,,,,,,,,,,
birdnfox,23,,,,,,,,,,,,,,,,,,
bitcoinsguide,33,,,,,,,,,,,,,,,,,,
bixbiboom,32,,,,,,,,,,,,,,,,,,
bjepson,7,,,,,,,,,,,,,,,,,,
bjmgraphics,47,,,,,,,,,,,,,,,,,,
bk2128,61,,,,,,,,,,,,,,,,,,
BKelile,40,,,,,,,,,,,,,,,,,,
blackcrownhq,65,,,,,,,,,,,,,,,,,,
BlackHeartPress,49,,,,,,,,,,,,,,,,,,
blahblahgames,45,,,,,,,,,,,,,,,,,,
blakespot,52,,,,,,,,,,,,,,,,,,
blasianFMA,57,,,,,,,,,,,,,,,,,,
blogsNcoffee,39,,,,,,,,,,,,,,,,,,
BloomWatcher,36,,,,,,,,,,,,,,,,,,
BlueDartTweets,56,,,,,,,,,,,,,,,,,,
Blueflamemagick,43,,,,,,,,,,,,,,,,,,
BluffCreekElem,26,,,,,,,,,,,,,,,,,,
Boardgame_girl1,51,,,,,,,,,,,,,,,,,,
BoardGameAcad,43,,,,,,,,,,,,,,,,,,
boardgamelinks,57,,,,,,,,,,,,,,,,,,
boardgamerev,45,,,,,,,,,,,,,,,,,,
boardgamerpinup,62,,,,,,,,,,,,,,,,,,
BoardGames_TT,5,,,,,,,,,,,,,,,,,,
Boardgametruckr,49,,,,,,,,,,,,,,,,,,
bobbychiu,61,,,,,,,,,,,,,,,,,,
BoingBoing,82,,,,,,,,,,,,,,,,,,
BoldBebo,59,,,,,,,,,,,,,,,,,,
BoLSNEWS,53,,,,,,,,,,,,,,,,,,
Bombastic_World,76,,,,,,,,,,,,,,,,,,
booksatkerouac,51,,,,,,,,,,,,,,,,,,
BookSizzle,61,,,,,,,,,,,,,,,,,,
Booktrust,78,,,,,,,,,,,,,,,,,,
BookTweepz,62,,,,,,,,,,,,,,,,,,
BookZINY,46,,,,,,,,,,,,,,,,,,
bossfan2000,42,,,,,,,,,,,,,,,,,,
bragrman,34,,,,,,,,,,,,,,,,,,
Brandon_Nocaute,63,,,,,,,,,,,,,,,,,,
BrawlingBros,60,,,,,,,,,,,,,,,,,,
breaking_games,50,,,,,,,,,,,,,,,,,,
BrianBuchanan57,41,,,,,,,,,,,,,,,,,,
briankesinger,72,,,,,,,,,,,,,,,,,,
BriansGotGame,47,,,,,,,,,,,,,,,,,,
broadfieldsales,49,,,,,,,,,,,,,,,,,,
BroBible,69,,,,,,,,,,,,,,,,,,
brotips,69,,,,,,,,,,,,,,,,,,
BrownLeatherGuy,42,,,,,,,,,,,,,,,,,,
BruceLevenstein,53,,,,,,,,,,,,,,,,,,
BSoMT_2018,46,,,,,,,,,,,,,,,,,,
bsperk02,51,,,,,,,,,,,,,,,,,,
Buddhism_Now,73,,,,,,,,,,,,,,,,,,
bunnihoon,46,,,,,,,,,,,,,,,,,,
BushidoGCT,32,,,,,,,,,,,,,,,,,,
byrnesyliam,39,,,,,,,,,,,,,,,,,,
bythebbl,49,,,,,,,,,,,,,,,,,,
c0ralsky,53,,,,,,,,,,,,,,,,,,
C20thPosters,47,,,,,,,,,,,,,,,,,,
cabbie8201,48,,,,,,,,,,,,,,,,,,
CadeRageous,67,,,,,,,,,,,,,,,,,,
CAFalk,61,,,,,,,,,,,,,,,,,,
Caitlin_Akers,45,,,,,,,,,,,,,,,,,,
calmgrove,44,,,,,,,,,,,,,,,,,,
CanBlogHouse,68,,,,,,,,,,,,,,,,,,
CandaceHowze,50,,,,,,,,,,,,,,,,,,
CandlemonkeyH,47,,,,,,,,,,,,,,,,,,
CapnIndigo,42,,,,,,,,,,,,,,,,,,
CaptainBungalo,31,,,,,,,,,,,,,,,,,,
cardboard_kid,46,,,,,,,,,,,,,,,,,,
CardboardEdison,57,,,,,,,,,,,,,,,,,,
carlatreloar,40,,,,,,,,,,,,,,,,,,
CARmagazine,74,,,,,,,,,,,,,,,,,,
carmencita13,36,,,,,,,,,,,,,,,,,,
catcuddles,54,,,,,,,,,,,,,,,,,,
cawoodpublish,63,,,,,,,,,,,,,,,,,,
cbsa82,73,,,,,,,,,,,,,,,,,,
