screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
iotguide,1511,19645,72,28730,9720,1520,13.0013,3.1562,0.0662,12,1.428,0.0497,2026,4.745,0.1652,123.017,13.1096,1.9986,0.71,0.01,0.95,0.636,1
MusicTalks_xyz,1138,19791,156,19354,14570,290,17.391,17.4859,0.1098,35,4.051,0.2093,40583,46.24,2.3892,116.803,23.3733,1.7335,0.32,0.17,0.67,0.589,1
CARmagazine,3662,20125,158,177737,440,1734,5.4956,0.7376,0.0208,159,12.521,0.0704,86,4.13,0.0232,105.702,17.6634,1.1336,0.54,0.5,0.78,0.821,1
notreble,3676,20248,121,18945,747,376,5.5082,0.6882,0,94,4.924,0.2599,21,0.881,0.0465,71.285,2.9797,2,0,0,1,0.461,0
SueForMayor,1239,20816,0,167,247,60,16.8006,0.3196,0,9,0.458,2.7425,13,0.49,2.9341,81.162,-0.9505,3.6282,0.16,0,1,0.389,0
kickstarter,3552,21149,35,1111063,1063,14961,5.9541,7.4651,0.109,250,11.655,0.0105,501,11.908,0.0107,135.625,25.4436,1.1238,0.1,0.03,0.64,0.97,1
HFCNews,3146,21805,22,124564,37751,657,6.931,0.3315,0,3,0.191,0.0015,4,0.196,0.0016,123.357,7.0621,1.9983,0.58,0,1,0.182,0
DHermanStudio,2034,22804,154,578,562,57,11.2114,3.1259,0.3579,71,0.81,1.4014,139548,1832.874,3171.0623,131.633,10.5232,1.4601,0.21,0.04,0.33,0.805,1
PhilpottDon,1265,24995,158,31341,30407,1414,19.7589,4.0427,0.1984,7,0.495,0.0158,3888,7.579,0.2418,109.307,18.1153,1.6858,0.65,0.11,0.84,0.552,1
MicrochipMakes,2954,25340,160,58575,16974,1408,8.5782,8.0054,0.0647,137,12.333,0.2106,182,6.476,0.1106,118.841,10.887,1.6379,0.06,0.72,0.86,0.924,1
tedvickey,3456,25942,156,4291,4584,311,7.5064,0.6062,0.0402,11,0.379,0.0883,1149,8.843,2.0608,109.593,9.8697,1.3056,0.07,0.31,0.67,0.198,0
videoguys,3357,26325,56,7385,5180,387,7.8418,0.168,0.0637,7,0.347,0.047,50,0.634,0.0858,107.477,14.0286,1.6774,0.03,0.42,0.97,0.438,0
pedrilli,3802,26533,95,2393,2671,56,6.9787,0.0034,0,15,0.048,0.0201,10,0.111,0.0464,98.559,8.2783,1.6667,0,0,1,0.101,0
MedGizmo,1075,26633,132,2915,3023,1772,24.7749,0.0977,0,47,0.462,0.1585,34,1.572,0.5393,135.074,7.6505,5.7255,1,0.06,1,0.698,1
rgesthuizen,3779,28157,136,3909,2789,316,7.4509,1.814,0.0802,14,0.627,0.1604,1701884,2665.611,681.9163,112.083,23.3644,1.3227,0.25,0.17,0.46,0.378,0
richardjwaters,3361,28617,154,766,2027,282,8.5144,0.4189,0.033,107,0.515,0.6723,177666,471.411,615.4191,113.14,5.7037,3.4085,0.4,0.24,0.67,0.175,0
