screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
neanderthalTT,315,385,154,916,746,6,1.2222,1.6698,0.2381,14,0.839,0.3526,9776,65.1662,27.3897,112.574,20.7527,2.9556,0.70,0.41,0.62,0.3792,0
NeilaK20,3459,130870,153,1540,793,134,37.8346,54.8563,0.0807,181,1.637,1.063,201212,1010.709,656.3045,112.509,21.1374,1.3553,0.08,0.04,0.44,0.379,0
noasbobs,1337,10372,127,3761,3447,177,7.7577,8.0434,0.4503,146,1.897,0.5044,6038,18.833,5.0074,124.6,30.1678,1.4161,0.42,0.04,0.49,0.778,1
norm,2887,18939,66,761895,696,2234,6.5601,2.7021,0.0617,218499,3219.869,4.2261,100379,1103.309,1.4481,75.69,18.9535,1.2411,0.22,0.35,0.28,0.985,1
notesinabook,3105,2783,134,1452,2618,79,0.8963,0.0406,0.0052,15,0.47,0.3237,734,1.22,0.8402,94.857,12.2655,2.2166,0.49,0.40,0.98,0.169,0
OkleMiller,3343,1960,156,1158,1030,53,0.5863,0.2725,0.0485,12,0.716,0.6183,20285,25.651,22.1511,96.203,35.5012,1.4839,0.47,0.14,0.27,0.255,0
OlamicCutlery,2734,971,48,2579,147,20,0.3552,0.0662,0.0369,38,4.6342,1.734,11,1.1057,0.4137,73.1389,16.3325,2.1452,0.06,0.59,0.14,0.513,1
oli_woodman,3410,1515,37,329,253,8,0.4443,0.1091,0.0519,55,1.119,3.4012,4457,14.685,44.6353,75.879,12.493,1.3627,0.10,0.19,0.25,0.286,0
OrlyBed,38,107,116,80,886,1,2.8158,3.5,2.2895,1,0.0654,0.0875,1133,65.514,87.625,111.3925,22.268,2.1379,0.27,0.36,0.59,0.8318,1
palettegear,1682,2609,136,3029,2683,108,1.5511,1.5963,0.1623,86,1.251,0.413,159,2.188,0.7224,121.297,31.8129,1.4695,0.26,0.13,0.48,0.598,1
petewoodbridge,3600,4050,158,2681,2280,142,1.125,0.7783,0.1636,26,0.614,0.229,12838,56.526,21.0839,122.032,21.1753,2.062,0.37,0.07,0.61,0.73,1
picobrewbeer,1863,2540,142,3292,567,105,1.3634,2.0129,0.183,29,0.971,0.295,51,0.905,0.2749,109.857,40.2455,1.5083,0.24,0.11,0.38,0.433,0
PrettyPickleBRC,1155,83,101,114,79,2,0.0719,0.0017,0.0,6,0.4699,0.3421,4,0.2289,0.1667,66.8554,15.1212,1.0,0.02,0.00,0.92,0.1446,0
ptrrowan,1018,1545,130,461,1079,5,1.5177,1.6041,0.1876,20,1.411,3.0607,80586,180.257,391.013,121.94,19.6569,1.4833,0.06,0.10,0.73,0.452,0
RainSage,3379,9101,152,233,161,176,2.6934,0.4765,0.1512,9,0.412,1.7682,257876,4631.726,19878.6524,117.435,16.4775,2.952,0.38,0.19,0.47,0.595,1
RandyBHecht,1725,217,159,260,477,1,0.1258,0.0545,0.007,22,0.8571,0.7154,1750,22.3687,18.6692,125.5069,17.5258,1.5172,0.13,0.02,0.61,0.1336,0
raymondsuze,2137,328,0,23,24,0,0.1535,0.0061,0.0903,1,0.0092,0.1304,12510,50.3006,712.9565,94.9571,1.7289,1.925,0.12,0.07,0.56,0.6227,1
re_v1k,159,2607,79,141,110,2,16.3962,7.522,3.2642,95,1.176,8.3404,160051,4535.292,32165.1915,71.899,6.4308,1.2812,0.03,0.43,0.07,0.546,1
ReflexPillow,610,3487,152,1298,3038,42,5.7164,6.0574,0.3672,17,1.602,1.2342,2801,5.85,4.5069,118.783,33.6919,1.9241,0.55,0.13,0.59,0.585,1
residentadvisor,3563,60238,21,309665,2189,4374,16.9065,0.8139,0.0045,1434,18.903,0.061,627,6.096,0.0197,96.504,9.5597,1.0343,0.17,0.22,0.95,0.93,1
RichGetz,3496,18037,157,803,1012,30,5.1593,5.1004,0.0778,110,1.147,1.4284,135427,1004.972,1251.5218,99.286,3.3729,1.6882,0.09,0.05,0.34,0.333,0
rockpapershot,3551,25388,83,191540,656,2688,7.1495,0.0496,0.0,498,20.625,0.1077,122,7.139,0.0373,117.111,5.587,0,0.00,0.62,0.99,0.974,1
RustyLoL,2488,32464,136,11103,607,107,13.0482,7.1061,0.0213,2168,18.618,1.6768,60391,162.402,14.6269,75.041,15.2226,1.039,0.08,0.12,0.21,0.233,0
ScontiDaCinema,961,1305,48,4676,4394,15,1.358,0.23,0.025,22,2.046,0.4376,10,1.519,0.3249,118.371,1.6914,1.2889,0.23,0.72,1.00,0.919,1
SCP_1247,2586,21254,132,842,799,7,8.2189,2.6806,0.1052,48,2.047,2.4311,68374,418.009,496.4477,83.73,2.4934,1.1333,0.01,0.24,0.26,0.398,0
SCXCR,2435,2705,119,164,56,2,1.1109,0.0201,0.0218,24,0.634,3.8659,99297,217.909,1328.7134,87.036,4.8388,1.0667,0.03,0.13,0.40,0.162,0
sekulicnemanja,2219,548,78,867,100,20,0.247,0.059,0.0068,38,2.3029,1.4556,2336,7.3595,4.6517,96.7117,14.4736,3.9953,0.39,0.09,0.86,0.2044,0
senzatempowatch,1022,14636,46,1260,461,44,14.3209,0.0127,0.0,11,1.2,0.9524,4,0.324,0.2571,84.592,8.5484,1.68,0.05,0.72,0.28,0.245,0
smokestaxxpans,2066,311,28,552,4918,2,0.1505,0.5634,0.0445,12,1.0358,0.5761,30,1.3453,0.7482,79.8404,37.2891,2.4872,0.13,0.36,0.28,0.4495,0
