screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score,influencial
PhilpottDon,1271,25079,158,31391,30739,1414,19.7317,4.0504,0.1975,7,0.495,0.0158,3888,7.579,0.2414,109.307,18.1153,1.6858,0.65,0.11,0.84,4.1836,0
Sinceron1973,1588,25227,104,367,166,32,15.886,107.7185,0.5176,170,0.304,0.8283,258694,1789.279,4875.4196,109.722,2.735,1.8511,0.09,0.35,0.22,1492.2587,1
MicrochipMakes,2960,25384,160,58612,16971,1407,8.5757,7.9919,0.0645,137,12.333,0.2104,182,6.476,0.1105,118.841,10.887,1.6379,0.06,0.72,0.86,5.9838,1
torilovestoast,2127,25405,142,1316,2322,14,11.9441,26.3592,0.3051,185,1.711,1.3002,307813,15562.733,11825.785,80.95,5.1964,1.5217,0.02,0.48,0.11,10831.6622,0
slloyd14,3018,25599,142,1196,195,54,8.4821,0.1716,0.0116,5,0.178,0.1488,3310,9.811,8.2032,83.732,9.0182,1.6126,0.11,0.03,0.91,0.677,0
State_Scoop,2011,25646,127,10491,136,438,12.7529,0.6037,0,22,0.652,0.0621,10,0.542,0.0517,134.06,12.4817,2.2821,0.43,0.12,1,0.1696,0
stuartpalley,3275,25663,149,2597,1332,164,7.836,1.785,0.2382,65,1.077,0.4147,347028,4810.837,1852.4594,123.481,-2.9438,1.4798,0.2,0.09,0.22,4122.8873,1
tenacioustoys,3236,25668,117,7823,2726,207,7.932,1.2213,0.0121,16,0.927,0.1185,2718,3.37,0.4308,117.402,3.6142,1.9875,0.32,0.53,0.94,0.7414,0
CloudBusiness9,2184,25718,143,5974,792,539,11.7756,14.0568,0.2088,22,1.055,0.1766,75683,129.911,21.7461,116.645,40.6559,1.5268,0.35,0.15,0.39,76.5176,0
TLandin,2220,25759,33,699,1032,21,11.6032,6.2946,0.032,31,1.591,2.2761,16775,52.001,74.3934,99.998,23.9291,1.776,0.73,0.02,0.29,20.2804,0
MattVerderame,2591,25890,130,3509,560,86,9.9923,6.0807,0.1023,540,5.707,1.6264,282370,1936.927,551.9883,105.07,10.6196,1.3988,0.17,0.06,0.53,910.3557,0
tedvickey,3462,25963,156,4293,4587,311,7.4994,0.6066,0.0402,11,0.379,0.0883,1149,8.843,2.0599,109.593,9.8697,1.3056,0.07,0.31,0.67,1.7509,0
Lady_Ada_King,2759,26066,147,4858,518,247,9.4476,8.477,0.1642,220,1.89,0.389,172601,1851.31,381.0848,101.506,18.8027,1.6757,0.07,0.18,0.28,966.3838,0
shawno,4079,26325,64,1218,410,100,6.4538,0.0537,0.0294,17,0.405,0.3325,781,2.943,2.4163,90.893,14.5501,1.3788,0.2,0.2,0.34,0.6033,0
videoguys,3363,26381,56,7382,5179,387,7.8445,0.1686,0.0636,7,0.347,0.047,50,0.634,0.0859,107.477,14.0286,1.6774,0.03,0.42,0.97,0.2777,0
pedrilli,3808,26687,95,2407,2679,56,7.0081,0.0034,0,15,0.048,0.0199,10,0.111,0.0461,98.559,8.2783,1.6667,0,0,1,0.0112,0
MedGizmo,1081,26844,132,2932,3025,1767,24.8326,0.0971,0,47,0.462,0.1576,34,1.572,0.5362,135.074,7.6505,5.7255,1,0.06,1,1.0973,0
PHISHpointO,1868,26935,143,1322,1009,38,14.4192,19.0375,0.0412,84,1.411,1.0673,414987,1563.583,1182.7405,81.613,11.7579,1.1176,0.05,0.1,0.28,157.9219,0
MatericLook,1765,27051,159,28275,28962,771,15.3263,24.6278,0.0176,30,3.8,0.1344,5775,7.131,0.2522,124.647,28.7389,7.291,0.62,0.21,0.96,2.9879,0
ThomasOtterman,1133,27169,157,4437,4769,165,23.9797,50.474,0.5375,37,1.031,0.2324,2678,26.417,5.9538,113.958,7.145,1.873,0.31,0.2,0.29,18.9146,0
pride_site,3530,28071,56,89053,815,760,7.9521,0.8008,0.0558,1555,15.39,0.1728,24564,82.519,0.9266,100.675,19.7901,1.1225,0.4,0.04,0.88,64.6949,0
Mikeyothedj,3371,28081,81,2063,1681,60,8.3302,0.0549,0,3,0.046,0.0223,2,0.012,0.0058,57.958,2.1949,0,0,0,1,0.0001,0
rgesthuizen,3785,28186,136,3913,2793,315,7.4468,1.814,0.0801,14,0.627,0.1602,1701884,2665.611,681.2193,112.083,23.3644,1.3227,0.25,0.17,0.46,1007.601,0
jbolognino,3609,28495,145,4395,1881,156,7.8955,14.1638,0.0961,182,0.977,0.2223,273613,4164.142,947.4726,85.718,10.8148,1.3929,0.06,0.1,0.45,1628.1795,0
richardjwaters,3367,28639,154,768,2026,282,8.5058,0.4238,0.033,107,0.515,0.6706,177666,471.411,613.8164,113.14,5.7037,3.4085,0.4,0.24,0.67,82.4969,0
BoardGameAcad,424,29129,0,1145,332,17,68.7005,3.0802,2.1981,8,0.056,0.0489,46,1.919,1.676,131.048,18.4885,2.5268,0.75,0.1,0.4,1.8288,1
ShannaGermain,1845,29309,160,6843,907,314,15.8856,35.465,0.1756,814,17.151,2.5064,110775,603.757,88.2299,107.814,27.8296,1.4309,0.19,0.08,0.41,397.2721,0
KRADeC,3015,29845,156,2944,524,267,9.8988,0.0342,0.2408,32,0.62,0.2106,143693,2594.014,881.1189,116.992,13.3567,1.3186,0.11,0.04,0.2,2002.5788,0
Kickstartech,1439,29951,85,169,3,36,20.8138,0,0,3,0.027,0.1598,2,0.009,0.0533,64.692,9.9552,1,0,0,1,0.0001,0
beastsofwar,3361,30184,106,15359,73,307,8.9807,0.2672,0.0057,56,7.263,0.4729,40,2.045,0.1331,134.345,15.3396,1.225,0.36,0.02,0.96,1.2945,0
KAy_TIEmyshoes,2545,30292,75,3336,1425,8,11.9026,13.391,0.2664,4654,14.854,4.4526,357179,29820.749,8939.0734,83.405,9.2927,1.2857,0.01,0.36,0.14,22991.7975,0
pthistory,396,30420,135,11139,8240,42,76.8182,0.6616,0,9,1.171,0.1051,6,0.987,0.0886,132.044,5.248,1.003,0.99,0.68,0.95,0.5813,0
CadeRageous,3301,30809,94,259128,138856,1370,9.3332,7.8752,0.0348,194,9.632,0.0372,245966,1710.016,6.5991,93.856,27.4447,1.2772,0.1,0.1,0.36,601.9256,0
RossRintala,3029,30925,119,6639,1105,16,10.2096,9.6487,0.0231,943,40.069,6.0354,253281,649.209,97.7872,86.302,33.368,1.2481,0.13,0.1,0.3,317.4632,0
AntikBar,2420,30977,141,14162,14185,230,12.8004,0.2277,0.005,19,1.117,0.0789,19,0.559,0.0395,138.005,55.6885,2.0901,0.35,0.02,0.99,0.1593,0
pts,4158,31181,99,861,446,38,7.499,4.3487,0.0212,115,1.816,2.1092,31710,114.547,133.0395,65.061,10.9574,1.6,0.01,0.05,0.17,15.8075,0
Torian_Girl,2040,31223,111,2241,911,5,15.3054,21.4745,0.1363,94,3.075,1.3722,45523,1215.1,542.2133,108.664,11.4042,1.3714,0.04,0.07,0.46,442.2964,0
Domotique34,2105,31613,127,4425,3193,212,15.0181,0.1055,0,5,0.122,0.0276,2,0.102,0.0231,94.166,4.6652,1.2857,0.04,0.36,1,0.0095,0
IndieGameAllies,1511,31754,153,5235,3677,168,21.0152,7.415,0.0318,11,1.411,0.2695,396,1.265,0.2416,110.177,29.5377,1.2742,0.06,0.01,0.91,0.2732,0
Sweeet83,2759,32166,35,1698,1858,87,11.6586,23.0602,0.1269,20,0.394,0.232,19818,288.277,169.7744,82.804,25.4529,2.099,0.29,0.04,0.16,109.5453,0
TheRpgAcademy,2122,32376,134,4616,642,203,15.2573,9.3897,0.1041,91,4.101,0.8884,253,2.425,0.5253,112.975,19.4105,1.5253,0.2,0.1,0.49,1.164,0
Pjschard,2729,32655,120,1771,392,58,11.9659,11.037,0.07,142,1.951,1.1016,261,2.405,1.358,84.479,16.2767,1.148,0.2,0.25,0.16,0.594,0
akasha111182,2458,32825,57,269,560,48,13.3544,12.3271,0.1168,182,1.566,5.8216,415004,3903.934,14512.7658,94.795,17.5999,1.3171,0.08,0.13,0.28,1210.2195,0
turner_tasha,2436,32872,123,4190,4844,177,13.4943,11.8071,0.3149,93,0.447,0.1067,150488,1958.078,467.3217,123.963,16.4581,1.4898,0.15,0.04,0.24,1552.7559,0
bikeradar,3502,33323,134,142539,3370,3039,9.5154,0.5494,0.008,404,11.261,0.079,406,3.225,0.0226,107.27,15.8648,1.0556,0.04,0.51,0.97,2.3671,0
Travis_Fauber,2754,33438,124,868,681,25,12.1416,15.4081,0.3508,54,0.129,0.1486,73567,119.457,137.6233,122.194,17.4373,2.2232,0.47,0.39,0.12,115.9927,1
EoT_Impulse,1411,33523,124,293,1361,18,23.7583,53.0106,0.4387,63,0.264,0.901,105996,3028.787,10337.157,101.187,2.4057,1.5,0.03,0.15,0.16,1947.51,0
mattthr,3046,33567,158,1770,622,91,11.02,2.7321,0.0499,23,1.518,0.8576,43797,386.22,218.2034,98.728,8.8989,1.1304,0.07,0.12,0.43,82.6511,0
BestCrowdFundng,1207,33648,147,3019,3396,101,27.8774,0.1367,0,2,0.026,0.0086,2,0.016,0.0053,125.918,28.4858,1,0.49,0,1,0.0002,0
mmbilal,3457,33733,129,54984,1663,809,9.7579,6.2803,0.1261,96,6.086,0.1107,347092,1911.329,34.7615,122.844,13.011,1.1925,0.16,0.14,0.52,1571.1124,1
DynamiteComics,2750,34129,159,57019,2692,917,12.4105,5.848,0.0993,146,4.654,0.0816,257,2.943,0.0516,130.137,12.3651,1.2147,0.35,0.04,0.76,2.1896,0
amandamakepeace,3656,34481,154,1995,771,219,9.4313,4.2503,0.0719,39,2.169,1.0872,378922,571.436,286.4341,101.682,32.9622,1.7988,0.17,0.14,0.38,227.4315,0
text_publishing,3240,35215,147,23473,4850,678,10.8688,1.9432,0.1269,513,6.863,0.2924,832,5.11,0.2177,116.944,25.9744,1.195,0.16,0.09,0.47,3.669,0
DrinkingQuest,2439,35251,156,144100,52183,801,14.4531,12.2189,0.1849,118,3.44,0.0239,160725,3471.034,24.0877,91.639,12.6655,1.5128,0.04,0.24,0.19,1971.5473,0
