screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
Moshology,2497,11927,4,4138,2773,48,4.7765,6.2623,0.0012,70009,86.466,20.8956,27459,34.251,8.2772,39.79,2.2592,1.6667,0,0.06,0.05,0.397,0
theBATCLAM,2908,11972,147,1138,278,28,4.1169,7.1331,0.1561,86,4.104,3.6063,506385,1936.859,1701.9851,120.059,26.6182,1.9946,0.37,0.18,0.44,0.704,1
RCA,3307,11973,115,40649,1915,943,3.6205,0.697,0.1391,192,4.706,0.1158,1796,7.388,0.1818,136.796,32.1516,1.4486,0.43,0.04,0.62,0.941,1
BloomWatcher,705,12026,83,205,2,25,17.0582,0.0057,0,5,0.056,0.2732,3,0.071,0.3463,125.203,8.0059,1.001,1,1,1,0.065,0
BloomWatcher,705,12026,83,205,2,25,17.0582,0.0057,0,5,0.056,0.2732,3,0.071,0.3463,125.203,8.0059,1.001,1,1,1,0.065,0
KathyHolzapfel,2199,12055,157,9710,8800,395,5.482,0.9914,0.0045,14,0.573,0.059,2317,2.768,0.2851,99.518,15.7452,2.4353,0.94,0.02,0.94,0.204,0
TheMarsSociety,3556,12101,116,17631,537,627,3.403,0.2393,0.1021,127,6.762,0.3835,154613,232.85,13.2069,112.2,11.4433,1.7166,0.25,0.12,0.81,0.964,1
BoldBebo,2298,12341,157,2950,1463,43,5.3703,8.9726,0.1893,766,7.469,2.5319,201741,3586.446,1215.7444,104.294,11.4054,1.2105,0.02,0.11,0.24,0.51,1
dynastybeautyb,1495,12522,81,1643,1680,30,8.3759,2.493,0.6054,18,0.265,0.1613,13032,41.217,25.0864,125.931,12.5253,3.5164,0.64,0.03,0.66,0.994,1
GigiEdgley,2312,12624,154,12837,1335,225,5.4602,5.2958,0.2418,156,5.013,0.3905,14759,17.42,1.357,115.224,28.9861,1.7143,0.22,0.18,0.38,0.811,1
chinnky,3276,12825,103,2504,2250,15,3.9148,0.8864,0.0702,20,0.288,0.115,216822,1832.083,731.6625,85.81,18.7817,1.4203,0.07,0.06,0.35,0.327,0
fairway3games,1190,12912,154,2945,2226,106,10.8504,9.3008,0.2235,46,1.865,0.6333,30153,31.541,10.71,102.083,17.1108,1.5514,0.11,0.35,0.47,0.382,0
labwam,3391,13236,65,343,91,9,3.9033,0.0065,0.0852,444,1.124,3.277,311861,2296.254,6694.6181,113.919,8.0373,1.24,0.05,0.08,0.31,0.323,0
tomgurg,2924,13325,145,1286,525,57,4.5571,6.1019,0.0749,25,0.855,0.6649,332929,467.348,363.4121,80.109,26.3099,1.7561,0.08,0.06,0.23,0.252,0
