screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
GadgetFlow,2061,48064,160,121380,4064,1246,23.3207,3.9908,0.0995,32,1.127,0.0093,1754,12.921,0.1065,129.442,25.1594,1.2011,0.55,0.12,0.83,0.936,1
GeekGirlCon,2859,49727,160,31571,1843,1388,17.3931,0.7356,0.0003,1460,8.275,0.2621,371,2.74,0.0868,112.106,15.8329,1.0887,0.25,0.27,0.87,0.65,1
MattyFranklyn,1070,53501,131,574,365,12,50.0009,157.4056,0.3411,198,2.06,3.5889,47364,464.449,809.1446,84.525,8.1962,2.0909,0.03,0.24,0.17,0.398,0
AnimatedInk,2673,53832,141,870,417,37,20.1392,3.7381,0.0748,31,0.837,0.9621,73674,369.047,424.192,92.168,15.2892,1.2105,0.1,0.1,0.34,0.254,0
katyfaise,2214,56367,158,817,539,15,25.4593,14.3911,0.1522,169,3.58,4.3819,503228,3641.057,4456.6181,95.227,12.4604,1.5826,0.12,0.18,0.28,0.416,0
Hellsfire,3364,66005,52,612,312,45,19.621,0,0,8,0.232,0.3791,2,0.045,0.0735,105.838,6.5923,1.158,0.44,0.12,0.27,0.039,0
DavidGallaher,3925,68990,157,13675,8778,624,17.5771,12.7628,0.1231,286,3.333,0.2437,138264,1004.086,73.4249,102.46,24.2251,1.3491,0.21,0.2,0.31,0.648,1
VorthosMike,1886,71516,120,3864,769,93,37.9194,13.2731,0.0907,221,5.438,1.4073,111366,219.629,56.8398,82.813,13.818,1.4242,0.13,0.22,0.27,0.312,0
Fbmadman1,2681,83434,112,559,167,54,31.1205,0.2096,0.2764,17,0.052,0.093,278442,4153.177,7429.6547,127.464,-2.011,1.5597,0.16,0.06,0.39,0.759,1
okangel27,2082,93645,130,2430,1109,36,44.9784,32.889,0.2805,90,2.424,0.9975,826,6.08,2.5021,101.519,24.3597,3.3171,0.08,0.3,0.23,0.836,1
Rbrutti,3138,97459,152,217306,217105,1579,31.0577,4.6823,0.0312,124,4.051,0.0186,88,4.62,0.0213,134.53,-8.495,0,0,0.11,0.88,0.935,1
AppUnwrapper,2407,106643,146,3001,988,170,44.3054,0.9904,0.0337,110,0.906,0.3019,139293,353.11,117.6641,78.829,5.2311,1.9286,0.03,0.11,0.27,0.207,0
dominictarason,3172,113970,157,2116,1180,96,35.93,2.3212,0.0293,235,3.487,1.6479,128111,227.394,107.4641,123.843,10.1748,2.5,0,0.04,0.71,0.264,0
somebadideas,3357,114536,118,13946,2313,420,34.1186,32.3333,0.0935,2221,14.601,1.047,182580,2161.648,155.0013,101.309,7.7607,1,0.02,0.11,0.37,0.552,1
Meezy0688,2782,118997,139,2000,1232,43,42.7739,8.2193,0.3505,3,0.015,0.0075,233224,9141.345,4570.6725,98.656,4.5955,1.3043,0.02,0.18,0.27,0.98,1
DeccanHerald,2629,127124,118,21764,230,477,48.3545,0.1521,0.0605,1543,4.824,0.2217,2374,5.737,0.2636,128.227,1.3573,1.8495,0.58,0.05,0.75,0.552,1
DanielSolis,3691,131375,160,7139,852,480,35.5933,0.7264,0.1558,20181,22.387,3.1359,503314,5106.7,715.3243,102.86,17.5924,1.4375,0.1,0.24,0.19,0.627,1
mletterle,4165,131883,43,1888,1428,159,31.6646,5.6327,0.1671,246,1.055,0.5588,356108,1792.938,949.6494,102.956,4.9977,1.2526,0.1,0.14,0.26,0.73,1
muskrat_john,3724,135251,160,18443,975,1183,36.3187,11.9057,0.1176,144,5.014,0.2719,128108,543.569,29.4729,98.812,15.1133,1.3882,0.09,0.15,0.38,0.596,1
aldotcom,3686,143300,137,292042,838,1866,38.8768,2.5914,0.0556,602,6.036,0.0207,127,3.982,0.0136,122.094,-2.468,1.0294,0.07,0.53,0.91,0.779,1
jam_hirons,2671,144939,155,2710,2073,1244,54.2639,1.0232,0.3706,1,0.005,0.0018,537,3.128,1.1542,128.431,21.3991,2.2381,0.84,0.09,0.57,0.989,1
Nathealings,3646,147862,100,6876,3800,398,40.5546,0.0518,0.0112,60,1.357,0.1974,13156,75.007,10.9085,120.894,4.6705,3.7052,0.44,0.13,0.85,0.324,0
IFMU_Gaming,255,165736,142,3321,301,43,649.9451,3.6667,3.9137,2,0.003,0.0009,161,4.19,1.2617,135.838,16.1629,3.1581,0.64,0.04,0.4,0.999,1
krowdster,1529,244437,154,58172,17449,1927,159.8672,56.4402,0,25,1.503,0.0258,25,1.248,0.0215,109.758,16.3183,2.5833,0.02,0,1,0.138,0
Gibbsdithers,2407,249199,36,20725,19871,275,103.531,46.1105,0.2297,32,0.947,0.0457,109785,460.629,22.2258,123.198,-2.2678,1.1807,0.08,0.06,0.49,0.843,1
EricWilderOK,1688,291319,53,41375,41510,1206,172.5823,0.0261,0.4941,27,0.208,0.005,18168,117.496,2.8398,134.91,11.4841,3.4167,0.59,0.07,0.42,0.982,1
EdGameTec,793,505722,153,14836,333,10523,637.7327,0.6103,1.256,1,0.003,0.0002,339,2.366,0.1595,127.667,20.5497,2.2631,0.8,0.13,0.7,1,1
paris_2015,3007,1235156,35,2268,3648,112,410.7602,1.2075,0.0007,18,0.061,0.0269,18,0.112,0.0494,116.876,-2.8785,2.25,0,0.91,1,0.067,0
