screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
DanielSolis,3699,131620,160,7163,854,477,35.5826,0.7264,0.1554,20181,22.387,3.1254,503314,5106.7,712.9275,102.86,17.5924,1.4375,0.10,0.24,0.19,0.627,1
danthediceguy,251,53,0,8,129,0,0.2112,0.004,0.012,3,0.4038,2.625,168953,3249.5192,21121.875,100.4231,16.1548,3.4615,0.25,0.15,0.60,0.1346,0
darrenc777,2601,7712,0,81,31,4,2.965,0.4575,0.0915,21,0.373,4.6049,1164172,2262.314,27929.8025,94.663,2.6752,1.3457,0.16,0.08,0.26,0.275,0
DarthHair1,2394,62,0,82,241,0,0.0259,0.0071,0.0013,5,0.7455,0.5,3,0.4182,0.2805,100.0909,12.8149,2.8889,0.16,0.07,0.75,0.3091,0
DasGoblinGames,695,10440,26,151,327,14,15.0216,0.0748,0.0158,8,0.1,0.6623,24,0.14,0.9272,88.15,-0.3708,1.2,0.01,0.93,0.99,0.047,0
datafaucet,3613,15513,55,5239,2019,172,4.2937,8.1171,0.0994,87,0.821,0.1567,196656,1728.71,329.9695,122.555,25.3382,2.0467,0.15,0.10,0.59,0.467,0
DaveTaylor,3866,55223,106,25646,1003,1254,14.2843,0.9338,0.0062,44,0.463,0.0181,1438,1.663,0.0648,132.769,21.4638,1.9615,0.08,0.03,0.94,0.121,0
DavidBaity,1902,15945,27,13467,8995,110,8.3833,0.3254,0.0379,9,0.408,0.0303,121184,128.867,9.5691,122.149,4.36,3.1786,0.90,0.10,0.93,0.566,1
DavidGallaher,3933,69066,157,13690,8786,623,17.5606,12.8113,0.1228,286,3.333,0.2435,138264,1004.086,73.3445,102.46,24.2251,1.3491,0.21,0.20,0.31,0.648,1
DavidWentNomad,1001,78,112,198,390,34,0.0779,0.1129,0.012,13,2.2308,0.8788,13,0.5385,0.2121,113.2821,34.1499,4.0938,0.41,0.21,0.65,0.2692,0
DawltonBarn,3285,9689,65,3365,3156,182,2.9495,1.6444,0.1117,67,4.324,1.285,50723,61.144,18.1706,113.574,37.2626,1.6256,0.40,0.05,0.51,0.641,1
day133513636,157,51,139,15,53,1,0.3248,0.2229,0.0127,4,0.7959,2.6,7,0.5102,1.6667,116.7143,20.9978,3.1538,0.27,0.02,0.88,0.3265,0
Daymarebrand,173,44,61,35,131,0,0.2543,0.9653,0.0983,4,0.7955,1.0,76575,2576.2727,3238.7429,91.6818,24.8668,3.2857,0.48,0.45,0.16,0.5,1
DB_Stokes,3234,63738,71,4452,4064,145,19.7087,1.9536,0.1908,23,0.491,0.1103,3178,7.064,1.5867,135.696,25.9736,2.2677,0.79,0.25,0.62,0.81,1
dc3ArtProjects,2466,6023,156,1626,2600,137,2.4424,1.9558,0.2092,19,1.057,0.6501,106964,209.653,128.9379,127.467,31.0895,1.9722,0.40,0.04,0.50,0.665,1
DcanDivaCreates,1780,1694,151,449,436,33,0.9517,0.0927,0.0107,8,0.346,0.7706,5428,6.658,14.8285,91.501,24.0741,2.4405,0.78,0.24,0.69,0.127,0
dcooneyart,3591,10366,74,1533,720,95,2.8867,1.5734,0.1089,36,1.777,1.1592,450826,1926.45,1256.6536,114.91,22.6194,2.371,0.31,0.20,0.48,0.628,1
DeadPhishOrch,2826,141,65,243,143,8,0.0499,0.04,0.0255,5,0.5357,0.3086,6,1.0357,0.5967,125.4429,19.4639,1.8246,0.41,0.08,0.56,0.6429,1
DeathByMage,1020,20296,140,3672,1159,96,19.898,51.5039,0.3216,68,2.575,0.7013,9413,44.242,12.0485,112.117,26.2084,1.6031,0.19,0.09,0.39,0.399,0
DeccanHerald,2637,127784,118,21949,231,478,48.4581,0.1555,0.0603,1543,4.824,0.2198,2374,5.737,0.2614,128.227,1.3573,1.8495,0.58,0.05,0.75,0.552,1
DeepDungeonGMZ,381,971,101,280,455,6,2.5486,0.6667,0.3648,97,1.999,6.8679,356053,377.5613,1297.1929,104.9657,26.3307,3.8439,0.31,0.19,0.53,0.3981,0
DeeplyDapper,1879,5957,124,716,776,71,3.1703,1.7967,0.107,102,1.045,1.4595,197764,1748.427,2441.9372,106.008,16.6134,1.731,0.17,0.18,0.45,0.294,0
dehmohnic,54,844,34,92,65,0,15.6296,3.4074,2.6296,69,0.5707,5.1739,99714,1036.711,9398.0109,49.048,6.242,1.0,0.00,0.12,0.18,0.1942,0
demo_ken,2452,18343,145,2579,973,121,7.4808,0.2679,0.0114,31,2.14,0.8298,26,0.394,0.1528,103.333,21.673,2.5305,0.28,0.12,0.43,0.212,0
designmilk,3613,75571,101,2327999,1349,17913,20.9164,0.7908,0.0089,268,41.939,0.018,89,10.727,0.0046,116.446,15.8102,1.0191,0.42,0.73,0.97,0.931,1
designtaxi,3740,141742,109,508087,89,12886,37.8989,0.0013,0.0,167,7.419,0.0146,38,2.315,0.0046,88.673,15.0373,1.0,0.00,0.12,1.00,0.65,1
DianeCapri,2659,124515,158,8968,6575,856,46.8278,0.3189,0.0,10,0.477,0.0532,7,0.693,0.0773,113.875,17.0015,2.0964,0.17,0.70,0.99,0.47,0
DianeVarner,3375,79,116,98,116,3,0.0234,0.0003,0.0006,2,0.0633,0.051,50,0.6456,0.5204,96.7595,32.8314,1.3846,0.16,0.01,0.71,0.0253,0
dicerollcafe,1153,310,119,254,175,16,0.2689,0.5134,0.0477,13,1.371,1.6732,2605,13.0226,15.8937,126.8387,33.2005,3.2714,0.68,0.15,0.64,0.4,0
dicetower_news,1416,3210,0,15565,10,327,2.2669,0.5523,0.0021,62,8.612,0.5533,30,2.775,0.1783,109.844,2.8887,1.5,0.00,0.80,0.95,0.749,1
DigitalTrends,3676,98487,65,2094089,1207641,12675,26.7919,2.0626,0.0378,247,18.093,0.0086,42658,52.766,0.0252,95.028,10.3503,1.2035,0.23,0.06,0.92,0.986,1
diktionarychris,81,69,159,169,307,0,0.8519,0.6049,0.0,5,1.058,0.432,1,0.1014,0.0414,126.8986,39.5178,1.5854,0.59,0.10,0.84,0.1014,0
dirtybandits,3125,1820,54,999,692,65,0.5824,0.192,0.032,23,0.789,0.7898,206724,388.705,389.0941,101.035,28.0151,1.6884,0.43,0.09,0.73,0.224,0
DiscordiaCS,1864,1989,131,804,1321,24,1.0671,0.2264,0.0429,12,0.392,0.4876,23025,28.299,35.1978,103.95,6.7787,2.856,0.49,0.10,0.96,0.199,0
disney_parents,818,11669,52,1273,900,34,14.2653,0.9462,0.0,4,0.367,0.2883,3,0.135,0.106,98.773,7.6032,1.6449,1.00,0.60,0.90,0.114,0
DistilUnion,2242,5926,131,1852,831,88,2.6432,3.6329,0.0624,100,0.923,0.4984,239007,760.71,410.7505,105.599,29.6468,1.4048,0.21,0.31,0.48,0.216,0
diyodemag,495,445,156,517,11,8,0.899,0.4869,0.0081,32,1.1777,1.0,37,0.4989,0.4236,112.1116,39.9495,2.2,0.03,0.12,0.72,0.221,0
DJFrankieee,3303,120725,146,12084,13370,3426,36.5501,4.4823,0.0194,7,0.301,0.0249,4785,8.408,0.6958,126.682,10.9917,2.1586,0.93,0.45,0.94,0.187,0
dlo168art,3261,224,26,104,71,4,0.0687,0.0659,0.0058,216,3.0446,6.5577,45141,240.2098,517.375,99.1741,31.4003,3.1789,0.55,0.43,0.49,0.4018,0
DNewmanStille,912,5158,136,586,444,21,5.6557,6.6875,0.3465,33,1.597,2.7253,140218,348.186,594.1741,113.806,21.3358,1.2469,0.24,0.10,0.44,0.547,1
DocDraconis,3223,11401,88,622,793,49,3.5374,0.8604,0.0177,19,0.553,0.8891,181314,834.361,1341.4164,85.454,9.1479,1.2963,0.11,0.01,0.54,0.077,0
dominictarason,3180,114349,154,2128,1185,97,35.9588,2.3343,0.0292,235,3.487,1.6386,128111,227.394,106.8581,123.843,10.1748,2.5,0.00,0.04,0.71,0.264,0
Domotique34,2105,31613,127,4425,3193,212,15.0181,0.1055,0.0,5,0.122,0.0276,2,0.102,0.0231,94.166,4.6652,1.2857,0.04,0.36,1.00,0.093,0
DonationExperts,773,76727,147,88244,3719,63,99.2587,1.2445,0.0,4,0.192,0.0022,3,0.213,0.0024,131.375,39.4743,6.611,1.00,0.23,0.99,0.192,0
doubledipbars,27,6,67,7,8,0,0.2222,0.2222,0.037,7,1.5,1.2857,2,0.5,0.4286,103.5,15.925,1.5,0.33,0.33,0.33,0.3333,0
DragonTurtleG,563,117,139,129,115,5,0.2078,0.0391,0.0444,14,1.4196,1.2326,996,27.0089,23.4496,112.0179,26.8011,2.0682,0.39,0.12,0.69,0.5268,1
dread_unicorn,888,170,45,153,283,4,0.1914,0.3198,0.0225,12,1.4671,1.6013,111,3.0838,3.366,96.0479,11.2041,1.1842,0.23,0.51,0.85,0.521,1
DrewMcWeeny,3455,130036,138,48459,4085,1334,37.637,3.3719,0.1135,812,14.959,0.3087,514063,4130.832,85.2439,105.745,8.863,1.3438,0.03,0.11,0.37,0.586,1
DrinkingQuest,2439,35251,156,144100,52183,801,14.4531,12.2189,0.1849,118,3.44,0.0239,160725,3471.034,24.0877,91.639,12.6655,1.5128,0.04,0.24,0.19,0.568,1
druid_cat,2629,10343,148,2591,74,81,3.9342,1.5778,0.1217,56,1.691,0.6526,125896,1036.177,399.9139,110.975,26.4135,1.8256,0.20,0.11,0.39,0.436,0
DuchyChildcare,3410,1385,146,256,688,9,0.4062,0.3692,0.178,11,0.505,1.9727,20042,78.189,305.4258,115.817,39.2271,1.5275,0.27,0.15,0.25,0.708,1
dunsmoregames,113,124,62,68,212,1,1.0973,2.0973,0.0177,36,2.7257,4.5294,7,0.6018,1.0,112.1239,39.2022,1.3333,0.24,0.13,0.58,0.292,0
dustinbschwartz,2057,36203,113,1456,522,50,17.5999,5.0194,0.017,54,2.983,2.0488,127602,263.833,181.204,99.366,24.5502,1.125,0.05,0.06,0.30,0.074,0
