screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
IndieDiscoverer,425,1388,120,1118,837,13,3.2659,5.8329,0.3412,13,1.395,1.2478,210,5.194,4.6458,121.4,18.7845,4.7812,0.95,0.08,0.82,0.823,1
IndieGameAllies,1509,31700,153,5231,3674,169,21.0073,7.4155,0.0318,11,1.411,0.2697,396,1.265,0.2418,110.177,29.5377,1.2742,0.06,0.01,0.91,0.216,0
IndieGameLover,1475,69425,132,39761,19750,1156,47.0678,5.8468,0.6515,37,0.444,0.0112,12783,38.417,0.9662,135.679,15.2483,3.5736,0.72,0.10,0.36,0.99,1
IndySaintsFC,1250,686,57,788,609,11,0.5488,0.2584,0.0424,115,5.1068,4.1282,137,2.6075,2.1079,116.0848,25.9232,1.8098,0.61,0.27,0.54,0.6122,1
infectedellis,646,343,23,142,17,0,0.531,0.8096,0.065,70,2.3003,5.5563,49525,517.3061,1249.5493,85.9971,23.8519,1.4615,0.04,0.35,0.20,0.2653,0
insertquesthere,1169,3159,125,246,340,13,2.7023,5.0941,0.2293,35,0.975,3.9634,63410,503.362,2046.187,98.835,18.4363,1.2453,0.05,0.04,0.31,0.342,0
InvisionGameCom,2437,38395,117,5849,785,315,15.755,1.0829,0.025,15,1.034,0.1768,5927,14.158,2.4206,116.633,5.5225,3.3679,0.88,0.01,0.93,0.586,1
iotecglobal,1729,2969,146,1592,487,130,1.7172,0.583,0.2302,19,1.322,0.8304,15692,19.549,12.2795,129.095,26.7075,1.9079,0.67,0.12,0.56,0.765,1
iotguide,1515,19701,72,28785,9740,1523,13.004,3.1538,0.066,12,1.428,0.0496,2026,4.745,0.1648,123.017,13.1096,1.9986,0.71,0.01,0.95,0.636,1
IrregularMag,3056,1544,108,1179,389,31,0.5052,0.0157,0.0049,5,0.257,0.218,49,0.269,0.2282,76.663,13.1183,1.25,0.01,0.01,0.93,0.133,0
JackeyCarkey,1384,9654,153,115,157,3,6.9754,33.1611,0.3454,35,1.182,10.2783,160045,1883.909,16381.8174,98.989,32.8211,1.359,0.08,0.20,0.21,0.524,1
jacobleewick,3137,1459,44,3787,234,27,0.4651,0.4552,0.0571,273,6.517,1.7209,19503,23.251,6.1397,66.779,21.3096,1.2708,0.05,0.14,0.41,0.402,0
