keywords,User,Time,Favorite count,retweets,Text
"New Corp Order, a tabletop game about Marketing&Manipulation",aboardgamelife,2018/5/21 18:06,5,1,"I just backed New Corp Order, a tabletop game about Marketing &amp; Manipulation on @Kickstarter https://t.co/TALDSCHN94 #boardgames"
UP AI Edge,AccelerateMeCo,2018/6/4 13:00,6,2,"aiPatient revolutionises medical education by utilising the cutting edge in AI technologies.

Sign up for https://t.co/sznBU4xz6S"
Hail To The Victors 2018,AceAnbender,2018/6/12 16:49,5,3,"@Misopogon also, I'm shameless: you can still preorder HTTV 2018 through the kickstarter right here. https://t.co/GyYkqKGqwd"
The First Handheld Sound Camera for Everyone,Acoustic_Camera,2018/5/18 13:36,3,2,Last days for #SOUNDCAM on #Kickstarter. We've already reached 150.000  (&gt;175.000$) and there are still units with https://t.co/ZUDOjY1vrj
VR Puppet Murder Mystery,ActionZacku,2018/5/25 17:53,1,3,"My extremely creative and talented pal @erinf is creating this amazing puppet experience in VR, and it's very very https://t.co/Aw6HcECAIv"
QooCam,AD360eu,2018/5/14 12:14,0,1,"QooCam Is Kandao Technologys New 4K 360-Degree Camera, Already Funded On Kickstarter https://t.co/w3LQ48Nbyi #kickstarter"
Dragon Age Inspired Pride Enamel Pins,adelaide_rain,2018/6/15 10:31,11,2,"@ZapCreatives makes all my stuff, which are available as necklaces or keychains! Im also hoping to make some ename https://t.co/nzCdSXLKil"
Gorus Maximus,AdhilPatel,2018/6/11 20:48,2,1,Gorus Maximus is live on Kickstarter. Looking good! https://t.co/9IMBAyRw0n @Insideupgames
Doomsday Bots,adversitygames,2018/6/3 10:48,3,2,"A cool find at #ukge2018, Doomsday bots by @digispritedev is on @kickstarter now and fully funded. Make the best https://t.co/m2hPXWD1C0"
The Agora Letters,AECoker,2018/5/15 8:57,32,4,Students said they weren't confident with Greek capital letters... so today we're transcribing an inscription from https://t.co/PSN7bo9MWT
ElectroSpit Mobile Talkbox,AffinitiVC,2018/6/15 18:00,3,1,#MusicTech company @ElectroSpit is redefining the way artistic entrepreneurs create in tech with the #TalkBox. By d https://t.co/DG3UFfJINA
Souls of the sea,afterallmylove,2018/6/5 4:27,9,3,"""Love one another, but not make
not a bond of love; let it rather be
a moving sea between the shores
of your souls. https://t.co/qO3SBW740W"
